Unnamed: 0,TAM,CAR
First Downs,30,13
Rush-Yds-TDs,37-210-2,16-65-1
Cmp-Att-Yd-TD-INT,28-39-341-3-0,20-28-148-2-1
Sacked-Yards,1-7,3-26
Net Pass Yards,334,122
Total Yards,544,187
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,3-30,5-40
Third Down Conv.,10-16,1-9
Fourth Down Conv.,1-1,1-3
Time of Possession,36:05,23:55
