Unnamed: 0,BAL,CLE
First Downs,22,17
Rush-Yds-TDs,26-80-0,23-145-1
Cmp-Att-Yd-TD-INT,25-45-302-2-2,20-33-260-2-2
Sacked-Yards,0-0,3-18
Net Pass Yards,302,242
Total Yards,382,387
Fumbles-Lost,0-0,3-0
Turnovers,2,2
Penalties-Yards,4-29,8-59
Third Down Conv.,10-16,8-15
Fourth Down Conv.,0-1,1-1
Time of Possession,30:59,29:01
