Quarter,Time,Tm,Detail,DAL,TEN
1.0,4:36,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),7,0
2.0,14:56,Cowboys,Brett Maher 36 yard field goal,10,0
,1:04,Titans,Randy Bullock 37 yard field goal,10,3
,0:00,Titans,Randy Bullock 29 yard field goal,10,6
3.0,8:48,Cowboys,Dalton Schultz 6 yard pass from Dak Prescott (Brett Maher kick),17,6
,2:04,Titans,Robert Woods 7 yard pass from Joshua Dobbs (Randy Bullock kick),17,13
4.0,11:58,Cowboys,Dalton Schultz 10 yard pass from Dak Prescott (Brett Maher kick),24,13
,6:24,Cowboys,Brett Maher 45 yard field goal,27,13
