Unnamed: 0,MIN,DET
First Downs,21,24
Rush-Yds-TDs,23-91-1,25-113-1
Cmp-Att-Yd-TD-INT,25-35-404-3-1,25-44-361-2-2
Sacked-Yards,5-34,2-11
Net Pass Yards,370,350
Total Yards,461,463
Fumbles-Lost,1-0,1-1
Turnovers,1,3
Penalties-Yards,9-70,4-25
Third Down Conv.,9-14,7-14
Fourth Down Conv.,0-0,1-1
Time of Possession,30:27,29:33
