Quarter,Time,Tm,Detail,NYG,NWE
1.0,5:01,Giants,Lawrence Tynes 32 yard field goal,3,0
2.0,14:57,Patriots,Laurence Maroney 1 yard rush (Stephen Gostkowski kick),3,7
4.0,11:05,Giants,David Tyree 5 yard pass from Eli Manning (Lawrence Tynes kick),10,7
,2:42,Patriots,Randy Moss 6 yard pass from Tom Brady (Stephen Gostkowski kick),10,14
,0:35,Giants,Plaxico Burress 13 yard pass from Eli Manning (Lawrence Tynes kick),17,14
