Unnamed: 0,NYG,NWE
First Downs,17,22
Rush-Yds-TDs,26-91-0,16-45-1
Cmp-Att-Yd-TD-INT,19-34-255-2-1,29-48-266-1-0
Sacked-Yards,3-8,5-37
Net Pass Yards,247,229
Total Yards,338,274
Fumbles-Lost,2-0,1-1
Turnovers,1,1
Penalties-Yards,4-36,5-35
Third Down Conv.,8-16,7-14
Fourth Down Conv.,1-1,0-2
Time of Possession,30:27,29:33
