Unnamed: 0,KAN,DEN
First Downs,7,23
Rush-Yds-TDs,17-16-0,34-215-1
Cmp-Att-Yd-TD-INT,15-29-132-1-1,20-27-244-4-0
Sacked-Yards,5-19,1-6
Net Pass Yards,113,238
Total Yards,129,453
Fumbles-Lost,3-2,1-0
Turnovers,3,0
Penalties-Yards,7-34,4-35
Third Down Conv.,1-13,2-9
Fourth Down Conv.,3-3,0-0
Time of Possession,25:33,34:27
