Quarter,Time,Tm,Detail,DAL,NYJ
1.0,8:57,Jets,Doug Brien 34 yard field goal,0,3
2.0,12:43,Cowboys,Troy Hambrick 31 yard rush (Billy Cundiff kick),7,3
,0:11,Cowboys,Antonio Bryant 13 yard pass from Quincy Carter (Billy Cundiff kick),14,3
3.0,0:44,Jets,Doug Brien 38 yard field goal,14,6
4.0,4:56,Cowboys,Billy Cundiff 26 yard field goal,17,6
