Unnamed: 0,DAL,NYJ
First Downs,18,15
Rush-Yds-TDs,41-202-1,26-66-0
Cmp-Att-Yd-TD-INT,11-23-165-1-1,21-29-219-0-0
Sacked-Yards,2-7,0-0
Net Pass Yards,158,219
Total Yards,360,285
Fumbles-Lost,0-0,3-2
Turnovers,1,2
Penalties-Yards,5-38,4-40
Third Down Conv.,7-16,5-12
Fourth Down Conv.,0-0,0-1
Time of Possession,32:36,27:24
