Quarter,Time,Down,ToGo,Location,DAL,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Toby Gowin kicks off 62 yards, returned by Michael Bates for 37 yards (tackle by Darren Woodson)",0.000,1.930
1,15:00,1,10,NYJ 45,0,0,Curtis Martin right guard for 2 yards (tackle by Dat Nguyen),1.930,1.650
1,14:14,2,8,NYJ 47,0,0,Vinny Testaverde pass incomplete intended for Jerald Sowell (defended by Pete Hunter),1.650,0.960
1,14:08,3,8,NYJ 47,0,0,Vinny Testaverde pass complete to Wayne Chrebet for 10 yards (tackle by Terence Newman),0.960,2.720
1,13:39,1,10,DAL 43,0,0,Curtis Martin right guard for 5 yards (tackle by Dexter Coakley and Alshermond Singleton),2.720,2.850
1,12:59,2,5,DAL 38,0,0,Curtis Martin right guard for 7 yards (tackle by La'Roi Glover),2.850,3.510
1,12:23,1,10,DAL 31,0,0,Curtis Martin left tackle for -1 yards (tackle by Dexter Coakley),3.510,2.830
1,11:43,2,11,DAL 32,0,0,Vinny Testaverde pass complete to Curtis Conway for 11 yards (tackle by Mario Edwards),2.830,4.170
1,11:04,1,10,DAL 21,0,0,Curtis Martin left end for 5 yards (tackle by Alshermond Singleton and Dexter Coakley),4.170,4.370
1,10:21,2,5,DAL 16,0,0,Curtis Martin left tackle for 1 yard (tackle by La'Roi Glover and Willie Blade),4.370,3.810
1,9:38,3,4,DAL 15,0,0,Curtis Martin left tackle for -1 yards (tackle by Daleroy Stewart and Dat Nguyen),3.810,2.430
1,9:02,4,5,DAL 16,0,3,Doug Brien 34 yard field goal good,2.430,3.000
1,,,,NYJ 30,0,3,"Doug Brien kicks off 57 yards, returned by Zuriel Smith for 17 yards (tackle by Jamie Henderson)",0.000,0.940
1,8:51,1,10,DAL 30,0,3,Troy Hambrick left guard for 4 yards (tackle by Dewayne Robertson),0.940,0.930
1,8:12,2,6,DAL 34,0,3,Richie Anderson left guard for 12 yards (tackle by Sam Garnes),0.930,1.990
1,7:34,1,10,DAL 46,0,3,Troy Hambrick right tackle for 3 yards (tackle by Marvin Jones and Sam Cowart),1.990,1.860
1,6:59,2,7,DAL 49,0,3,Quincy Carter pass incomplete intended for Joey Galloway,1.860,1.160
1,6:52,3,7,DAL 49,0,3,Quincy Carter pass incomplete intended for Terry Glenn,1.160,-0.130
1,6:48,4,7,DAL 49,0,3,"Toby Gowin punts 35 yards, fair catch by Santana Moss",-0.130,0.140
1,6:41,1,10,NYJ 16,0,3,Vinny Testaverde pass incomplete intended for Curtis Conway (defended by Terence Newman),-0.140,-0.660
1,6:37,2,10,NYJ 16,0,3,Curtis Martin left end for 8 yards (tackle by Randal Williams),-0.660,-0.320
1,5:55,3,2,NYJ 24,0,3,Curtis Martin right end for 6 yards (tackle by Dat Nguyen),-0.320,0.940
1,5:13,1,10,NYJ 30,0,3,Vinny Testaverde pass complete to Wayne Chrebet for 22 yards (tackle by Mario Edwards),0.940,2.390
1,4:31,1,10,DAL 48,0,3,LaMont Jordan left end for 1 yard (tackle by Ebenezer Ekuban),2.390,1.980
1,3:51,2,9,DAL 47,0,3,Curtis Martin up the middle for -1 yards (tackle by Daleroy Stewart),1.980,1.160
1,3:08,3,10,DAL 48,0,3,Vinny Testaverde pass incomplete intended for Curtis Conway,1.160,0.070
1,3:02,4,10,DAL 48,0,3,Dan Stryzinski punts 46 yards,0.070,0.380
1,2:50,1,10,DAL 2,0,3,Troy Hambrick left guard for no gain (tackle by Chester McGlockton),-0.380,-0.780
1,2:12,2,10,DAL 2,0,3,Quincy Carter pass complete to Richie Anderson for 8 yards (tackle by Mo Lewis),-0.780,-0.480
1,1:38,3,2,DAL 10,0,3,Quincy Carter right end for 4 yards (tackle by Mo Lewis),-0.480,-0.280
1,1:07,1,10,DAL 14,0,3,Troy Hambrick left guard for 4 yards (tackle by Mo Lewis and Marvin Jones),-0.280,-0.210
1,0:29,2,6,DAL 18,0,3,Quincy Carter pass incomplete intended for Joey Galloway,-0.210,-0.920
1,0:22,3,6,DAL 18,0,3,Quincy Carter pass incomplete intended for Jason Witten,-0.920,-2.240
1,0:16,4,6,DAL 18,0,3,"Toby Gowin punts 41 yards, returned by Santana Moss for 9 yards (tackle by James Whalen)",-2.240,-2.260
1,0:03,1,10,NYJ 50,0,3,LaMont Jordan up the middle for -4 yards (tackle by Daleroy Stewart and Eric Ogbogu),2.260,1.170
Quarter,Time,Down,ToGo,Location,DAL,NYJ,Detail,EPB,EPA
