Unnamed: 0,MIA,TEN
First Downs,16,17
Rush-Yds-TDs,16-74-0,40-198-2
Cmp-Att-Yd-TD-INT,18-39-205-0-1,13-18-120-2-0
Sacked-Yards,4-23,1-10
Net Pass Yards,182,110
Total Yards,256,308
Fumbles-Lost,4-1,1-0
Turnovers,2,0
Penalties-Yards,5-55,6-70
Third Down Conv.,3-12,7-15
Fourth Down Conv.,1-3,1-1
Time of Possession,26:48,33:12
