Quarter,Time,Tm,Detail,MIA,TEN
1.0,1:24,Titans,Geoff Swaim 1 yard pass from Ryan Tannehill (Randy Bullock kick),0,7
2.0,14:15,Titans,Randy Bullock 23 yard field goal,0,10
,9:43,Dolphins,Jason Sanders 39 yard field goal,3,10
,3:18,Titans,D'Onta Foreman 21 yard rush (Randy Bullock kick),3,17
4.0,7:42,Titans,Anthony Firkser 15 yard pass from Ryan Tannehill (Randy Bullock kick),3,24
,2:58,Titans,Randy Bullock 44 yard field goal,3,27
,1:53,Titans,Dontrell Hilliard 39 yard rush (Randy Bullock kick),3,34
