Unnamed: 0,SFO,ARI
First Downs,10,28
Rush-Yds-TDs,29-103-1,37-139-2
Cmp-Att-Yd-TD-INT,9-19-67-0-4,20-32-311-2-1
Sacked-Yards,2-14,1-4
Net Pass Yards,53,307
Total Yards,156,446
Fumbles-Lost,1-0,2-0
Turnovers,4,1
Penalties-Yards,6-45,4-24
Third Down Conv.,4-12,6-13
Fourth Down Conv.,0-0,1-1
Time of Possession,23:28,36:32
