Quarter,Time,Tm,Detail,ATL,KAN
1.0,8:51,Falcons,Julio Jones 8 yard pass from Matt Ryan (Matt Bryant kick),7,0
,4:02,Chiefs,Ryan Succop 39 yard field goal,7,3
,1:57,Falcons,Matt Bryant 34 yard field goal,10,3
2.0,11:39,Chiefs,Kevin Boss 22 yard pass from Matt Cassel (Ryan Succop kick),10,10
,7:48,Falcons,Julio Jones 14 yard pass from Matt Ryan (Matt Bryant kick),17,10
,3:38,Chiefs,Matt Cassel 5 yard rush (Ryan Succop kick),17,17
,0:10,Falcons,Matt Bryant 21 yard field goal,20,17
3.0,4:54,Falcons,Matt Ryan 5 yard rush (Matt Bryant kick),27,17
,3:56,Falcons,Tony Gonzalez 7 yard pass from Matt Ryan (Matt Bryant kick),34,17
4.0,14:13,Falcons,Matt Bryant 30 yard field goal,37,17
,10:40,Falcons,Matt Bryant 41 yard field goal,40,17
,0:05,Chiefs,Shaun Draughn 4 yard rush (Ryan Succop kick),40,24
