Quarter,Time,Down,ToGo,Location,ATL,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Ryan Succop kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,ATL 20,0,0,Michael Turner right guard for 6 yards (tackle by Jovan Belcher),0.280,0.540
1,14:22,2,4,ATL 26,0,0,Michael Turner up the middle for 2 yards (tackle by Derrick O. Johnson),0.540,0.100
1,13:41,3,2,ATL 28,0,0,Matt Ryan pass complete short right to Tony Gonzalez for 3 yards (tackle by Travis Daniels),0.100,1.000
1,13:01,1,10,ATL 31,0,0,Matt Ryan pass complete short middle to Julio Jones for 25 yards (tackle by Derrick O. Johnson),1.000,2.650
1,12:26,1,10,KAN 44,0,0,Matt Ryan pass incomplete short right intended for Tony Gonzalez (defended by Eric Berry),2.650,2.110
1,12:21,2,10,KAN 44,0,0,Michael Turner up the middle for 2 yards (tackle by Tyson Jackson),2.110,1.690
1,11:38,3,8,KAN 42,0,0,Matt Ryan pass complete short right to Julio Jones for 11 yards (tackle by Jacques Reeves),1.690,3.510
1,10:58,1,10,KAN 31,0,0,Matt Ryan pass incomplete deep left intended for Julio Jones,3.510,2.970
1,10:53,2,10,KAN 31,0,0,Matt Ryan pass complete short left to Roddy White for 15 yards (tackle by Andy Studebaker),2.970,4.510
1,10:19,1,10,KAN 16,0,0,Michael Turner right guard for 2 yards (tackle by Jerrell Powe),4.510,4.210
1,9:44,2,8,KAN 14,0,0,Matt Ryan pass complete short right to Michael Palmer for 6 yards (tackle by Eric Berry),4.210,4.620
1,8:56,3,2,KAN 8,6,0,"Matt Ryan pass complete short right to Julio Jones for 8 yards, touchdown",4.620,7.000
1,8:56,,,KAN 2,7,0,Matt Bryant kicks extra point good,0.000,0.000
1,8:51,,,ATL 35,7,0,"Matt Bosher kicks off 60 yards, returned by Javier Arenas for 18 yards (tackle by Christopher Owens)",0.000,0.480
1,8:45,1,10,KAN 23,7,0,Peyton Hillis right tackle for 3 yards (tackle by Thomas DeCoud),0.480,0.340
1,8:05,2,7,KAN 26,7,0,Matt Cassel pass complete short right to Steve Breaston for 6 yards (tackle by Sean Weatherspoon),0.340,0.430
1,7:26,3,1,KAN 32,7,0,Jamaal Charles up the middle for 2 yards (tackle by William Moore),0.430,1.200
1,6:48,1,10,KAN 34,7,0,Matt Cassel pass complete short left to Tony Moeaki for 18 yards (tackle by Brent Grimes),1.200,2.390
1,6:41,1,10,ATL 48,7,0,Matt Cassel pass incomplete short left intended for Dwayne Bowe,2.390,1.850
1,6:36,2,10,ATL 48,7,0,Jamaal Charles left guard for 1 yard (tackle by Stephen Nicholas),1.850,1.290
1,5:55,3,9,ATL 47,7,0,Matt Cassel pass complete deep right to Dwayne Bowe for 23 yards (tackle by Asante Samuel),1.290,3.970
1,5:12,1,10,ATL 24,7,0,Matt Cassel pass incomplete short left intended for Steve Breaston,3.970,3.430
1,5:06,2,10,ATL 24,7,0,Jamaal Charles right tackle for 2 yards (tackle by Vance Walker),3.430,3.010
1,4:24,3,8,ATL 22,7,0,Matt Cassel pass complete short right to Peyton Hillis for 1 yard (tackle by Asante Samuel),3.010,2.060
1,4:06,4,7,ATL 21,7,3,Ryan Succop 39 yard field goal good,2.060,3.000
1,4:02,,,KAN 35,7,3,"Ryan Succop kicks off 66 yards, returned by Jacquizz Rodgers for 77 yards (tackle by Javier Arenas)",0.000,3.970
1,3:51,1,10,KAN 24,7,3,Michael Turner up the middle for 4 yards (tackle by Jovan Belcher),3.970,3.970
1,3:15,2,6,KAN 20,7,3,Michael Turner left tackle for 2 yards (tackle by Derrick O. Johnson),3.970,3.570
1,3:15,3,4,KAN 18,7,3,"Penalty on Matt Ryan: False Start, 5 yards (no play)",3.570,2.870
1,2:07,3,9,KAN 23,7,3,"Matt Ryan pass complete short left to Harry Douglas for 7 yards (tackle by Stanford Routt). Harry Douglas fumbles (forced by Stanford Routt), ball out of bounds at KAN-16",2.870,2.500
1,1:57,4,2,KAN 16,10,3,Matt Bryant 34 yard field goal good,2.500,3.000
1,1:57,,,ATL 35,10,3,"Matt Bosher kicks off 66 yards, returned by Javier Arenas for 25 yards (tackle by Jason Snelling)",0.000,0.540
1,1:47,1,10,KAN 24,10,3,Jamaal Charles left end for -1 yards (tackle by Ray Edwards),0.540,-0.140
1,1:17,2,11,KAN 23,10,3,Peyton Hillis left end for 7 yards (tackle by Brent Grimes),-0.140,0.100
1,0:37,3,4,KAN 30,10,3,Matt Cassel pass complete short middle to Tony Moeaki for 11 yards (tackle by William Moore),0.100,1.660
Quarter,Time,Down,ToGo,Location,ATL,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,KAN 41,10,3,Jamaal Charles right guard for 11 yards (tackle by Brent Grimes),1.660,2.390
2,14:21,1,10,ATL 48,10,3,Matt Cassel sacked by Sean Weatherspoon for -8 yards,2.390,0.770
2,13:40,2,18,KAN 44,10,3,Matt Cassel pass complete short right to Dexter McCluster for 9 yards (tackle by Asante Samuel),0.770,1.290
2,13:08,3,9,ATL 47,10,3,Matt Cassel pass complete deep middle to Dwayne Bowe for 21 yards (tackle by Brent Grimes),1.290,3.840
2,12:29,1,10,ATL 26,10,3,Shaun Draughn up the middle for 4 yards (tackle by Dunta Robinson and Stephen Nicholas),3.840,3.840
2,11:45,2,6,ATL 22,10,9,"Matt Cassel pass complete deep middle to Kevin Boss for 22 yards, touchdown",3.840,7.000
2,11:45,,,ATL 2,10,10,Ryan Succop kicks extra point good,0.000,0.000
2,11:39,,,KAN 35,10,10,"Ryan Succop kicks off 65 yards, returned by Jacquizz Rodgers for 27 yards (tackle by Andy Studebaker)",0.000,0.740
2,11:33,1,10,ATL 27,10,10,Jacquizz Rodgers right tackle for 3 yards (tackle by Derrick O. Johnson),0.740,0.600
2,10:56,2,7,ATL 30,10,10,Matt Ryan pass complete short right to Roddy White for 16 yards (tackle by Abram Elam),0.600,1.990
2,10:26,1,10,ATL 46,10,10,Matt Ryan pass complete short right to Roddy White for 15 yards,1.990,2.980
,,,,,,,"KAN challenged the pass completion ruling, and the play was upheld.",,
