Unnamed: 0,ATL,KAN
First Downs,21,22
Rush-Yds-TDs,23-84-1,33-152-2
Cmp-Att-Yd-TD-INT,23-31-299-3-0,21-33-258-1-2
Sacked-Yards,1-7,3-17
Net Pass Yards,292,241
Total Yards,376,393
Fumbles-Lost,1-0,1-1
Turnovers,0,3
Penalties-Yards,2-12,2-25
Third Down Conv.,5-10,11-16
Fourth Down Conv.,0-0,0-0
Time of Possession,28:05,31:55
