Quarter,Time,Down,ToGo,Location,OAK,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,NOR 20,0,0,Reggie Bush right guard for 5 yards (tackle by Gibril Wilson),0.280,0.410
1,14:27,2,5,NOR 25,0,0,Reggie Bush right end for -3 yards (tackle by Gibril Wilson),0.410,-0.690
1,14:00,3,8,NOR 22,0,0,Drew Brees pass complete short right to Mark Campbell for 6 yards (tackle by Gibril Wilson),-0.690,-1.500
1,13:27,4,2,NOR 28,0,0,"Steve Weatherford punts 46 yards, returned by Johnnie Lee Higgins for 35 yards (tackle by Steve Weatherford)",-1.500,-2.980
1,13:12,1,10,NOR 39,0,0,Justin Fargas left guard for 2 yards (tackle by Charles Grant),2.980,2.710
1,12:42,2,8,NOR 37,0,0,JaMarcus Russell pass complete short right to Ronald Curry for 13 yards (tackle by Josh Bullocks),2.710,3.970
1,12:04,1,10,NOR 24,0,0,JaMarcus Russell pass incomplete deep left intended for Zach Miller,3.970,3.430
1,11:58,2,10,NOR 24,0,0,Justin Fargas right end for 3 yards (tackle by Mike McKenzie and Josh Bullocks),3.430,3.140
1,11:14,3,7,NOR 21,0,0,JaMarcus Russell pass complete short left to Ronald Curry for 11 yards (tackle by Jason David),3.140,4.910
1,10:39,1,10,NOR 10,0,0,Justin Fargas left tackle for 4 yards (tackle by Jonathan Vilma and Scott Shanle),4.910,4.950
1,9:57,2,6,NOR 6,0,0,JaMarcus Russell pass incomplete short middle intended for Zach Miller (defended by Scott Shanle),4.950,4.040
1,9:52,3,6,NOR 6,0,0,JaMarcus Russell pass incomplete short middle intended for Johnnie Lee Higgins (defended by Randall Gay),4.040,2.990
1,9:47,4,6,NOR 6,3,0,Sebastian Janikowski 24 yard field goal good,2.990,3.000
1,,,,OAK 30,3,0,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,0.280
1,9:44,1,10,NOR 20,3,0,Drew Brees pass complete deep right to Reggie Bush for 21 yards (tackle by Thomas Howard),0.280,1.660
