Unnamed: 0,OAK,NOR
First Downs,12,23
Rush-Yds-TDs,22-85-0,33-122-1
Cmp-Att-Yd-TD-INT,13-35-159-0-1,26-30-320-3-0
Sacked-Yards,2-18,1-1
Net Pass Yards,141,319
Total Yards,226,441
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,5-26,4-30
Third Down Conv.,6-16,9-14
Fourth Down Conv.,0-1,0-0
Time of Possession,23:48,36:12
