Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
2,10:47,1,5,CLE 22,0,14,Joe Mixon up the middle for 12 yards (tackle by Duron Harmon),4.510,4.910
2,10:04,1,10,CLE 10,0,14,Jake Browning scrambles right end for 7 yards (tackle by Ronnie Hickman),4.910,5.530
2,9:23,2,3,CLE 3,0,20,"Jake Browning pass complete short middle to Andrei Iosivas for 3 yards, touchdown",5.530,7.000
2,9:19,,,CLE 15,0,21,Evan McPherson kicks extra point good,0.000,0.000
2,9:19,,,CIN 35,0,21,"Evan McPherson kicks off 63 yards,",0.000,0.610
2,9:19,1,10,CLE 25,0,21,Jeff Driskel pass complete deep right to Cedric Tillman for 18 yards (tackle by Cam Taylor-Britt),0.610,1.800
2,8:34,1,10,CLE 43,0,21,Jerome Ford left end for no gain (tackle by Trey Hendrickson and Jay Tufele),1.800,1.250
2,7:51,2,10,CLE 43,0,21,Jerome Ford left guard for 2 yards (tackle by Cameron Sample),1.250,0.830
2,7:04,3,8,CLE 45,0,21,Jeff Driskel pass incomplete deep right intended for James Proche (defended by Mike Hilton),0.830,-0.390
2,6:58,4,8,CLE 45,0,21,Corey Bojorquez punts 51 yards downed by James Proche,-0.390,0.380
2,6:48,1,10,CIN 4,0,21,Jake Browning pass incomplete short left intended for Ja'Marr Chase (defended by Kahlef Hailassie),-0.380,-0.780
2,6:44,2,10,CIN 4,0,21,Joe Mixon up the middle for 4 yards (tackle by Alex Wright and Mohamoud Diabate),-0.780,-0.950
2,6:02,3,6,CIN 8,0,21,"Jake Browning pass incomplete deep right intended for Tyler Boyd. Penalty on Alex Wright: Defensive Offside, 5 yards (accepted) (no play)",-0.950,-0.370
2,5:58,,,,,,Timeout #2 by Cincinnati Bengals,,
2,5:58,3,1,CIN 13,0,21,"Penalty on Sam Kamara: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.370,0.040
2,5:58,1,10,CIN 18,0,21,Joe Mixon left tackle for -6 yards (tackle by Alex Wright and Tony Fields),0.040,-1.220
2,5:17,2,16,CIN 12,0,21,Jake Browning pass complete short right to Tyler Boyd for 4 yards (tackle by Matthew Adams),-1.220,-1.500
2,4:37,3,12,CIN 16,0,21,Jake Browning pass complete short left to Tanner Hudson for 8 yards (tackle by Tony Fields),-1.500,-1.770
2,4:00,4,4,CIN 24,0,21,Brad Robbins punts 33 yards out of bounds,-1.770,-1.800
2,3:53,1,10,CLE 43,0,21,Jerome Ford left end for 4 yards (tackle by Josh Tupou),1.800,1.790
2,3:28,2,6,CLE 47,0,21,Jeff Driskel pass short left (defended by Joseph Ossai) intended for James Proche is intercepted by Logan Wilson at CIN-40 and returned for 26 yards (tackle by Luke Wypler),1.790,-3.310
2,3:14,1,10,CLE 34,0,21,Jake Browning pass incomplete short right intended for Andrei Iosivas (defended by Vincent Gray),3.310,2.770
2,3:07,2,10,CLE 34,0,21,Chase Brown right end for 2 yards (tackle by Alex Wright and Tony Fields),2.770,2.350
2,2:34,3,8,CLE 32,0,21,Jake Browning pass complete short right to Ja'Marr Chase for 5 yards (tackle by Vincent Gray),2.350,1.770
2,2:00,4,3,CLE 27,0,24,Evan McPherson 45 yard field goal good,1.770,3.000
2,1:55,,,CIN 35,0,24,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
