Unnamed: 0,CLE,CIN
First Downs,13,22
Rush-Yds-TDs,24-104-0,30-183-1
Cmp-Att-Yd-TD-INT,13-26-166-2-2,21-28-176-3-1
Sacked-Yards,3-26,3-31
Net Pass Yards,140,145
Total Yards,244,328
Fumbles-Lost,0-0,1-0
Turnovers,2,1
Penalties-Yards,7-35,1-10
Third Down Conv.,2-11,3-12
Fourth Down Conv.,1-1,0-0
Time of Possession,24:14,35:46
