Quarter,Time,Tm,Detail,NOR,SEA
1.0,12:38,Saints,Pierre Thomas 5 yard defensive fumble return (Olindo Mare kick),7,0
2.0,14:28,Saints,Eric Johnson 3 yard pass from Drew Brees (Olindo Mare kick),14,0
,5:18,Saints,Lance Moore 7 yard rush (Olindo Mare kick),21,0
,2:16,Seahawks,Ben Obomanu 17 yard pass from Matt Hasselbeck (Josh Brown kick),21,7
,0:30,Saints,Marques Colston 2 yard pass from Drew Brees (Olindo Mare kick),28,7
,0:02,Seahawks,Josh Brown 52 yard field goal,28,10
4.0,6:39,Seahawks,Nate Burleson 22 yard pass from Matt Hasselbeck (Josh Brown kick),28,17
