Quarter,Time,Tm,Detail,LVR,CAR
1.0,10:02,Panthers,Joey Slye 47 yard field goal,0,3
,5:47,Raiders,Josh Jacobs 1 yard rush (Daniel Carlson kick),7,3
,0:57,Panthers,Christian McCaffrey 6 yard rush (Joey Slye kick failed),7,9
2.0,8:13,Raiders,Daniel Carlson 20 yard field goal,10,9
,5:03,Panthers,Joey Slye 46 yard field goal,10,12
,1:54,Raiders,Nelson Agholor 23 yard pass from Derek Carr (Daniel Carlson kick),17,12
,0:00,Panthers,Joey Slye 31 yard field goal,17,15
3.0,9:38,Raiders,Daniel Carlson 54 yard field goal,20,15
,5:29,Raiders,Josh Jacobs 7 yard rush (Daniel Carlson kick),27,15
4.0,12:32,Panthers,Christian McCaffrey 3 yard rush (Joey Slye kick),27,22
,8:29,Panthers,Robbie Chosen 75 yard pass from Teddy Bridgewater (Robbie Chosen pass from Teddy Bridgewater),27,30
,4:08,Raiders,Josh Jacobs 6 yard rush (Daniel Carlson kick),34,30
