Unnamed: 0,BUF,MIA
First Downs,23,21
Rush-Yds-TDs,32-126-1,22-93-1
Cmp-Att-Yd-TD-INT,19-27-204-1-0,30-44-271-1-1
Sacked-Yards,4-18,1-8
Net Pass Yards,186,263
Total Yards,312,356
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,6-45,14-145
Third Down Conv.,5-12,5-13
Fourth Down Conv.,0-0,1-3
Time of Possession,31:04,28:56
