Quarter,Time,Tm,Detail,CIN,SEA
1.0,2:48,Bengals,Randy Bullock 39 yard field goal,3,0
2.0,6:36,Seahawks,Chris Carson 1 yard rush (Jason Myers kick),3,7
,5:12,Bengals,John Ross 33 yard pass from Andy Dalton (Randy Bullock kick),10,7
,0:52,Seahawks,Chris Carson 10 yard pass from Russell Wilson (Jason Myers kick),10,14
,0:07,Bengals,John Ross 55 yard pass from Andy Dalton (Randy Bullock kick),17,14
4.0,14:53,Seahawks,Tyler Lockett 44 yard pass from Russell Wilson (Jason Myers kick),17,21
,7:00,Bengals,Randy Bullock 27 yard field goal,20,21
