Unnamed: 0,CIN,SEA
First Downs,22,12
Rush-Yds-TDs,14-34-0,25-72-1
Cmp-Att-Yd-TD-INT,35-51-418-2-0,14-20-195-2-0
Sacked-Yards,5-23,4-35
Net Pass Yards,395,160
Total Yards,429,232
Fumbles-Lost,4-3,1-1
Turnovers,3,1
Penalties-Yards,7-57,8-55
Third Down Conv.,6-15,4-12
Fourth Down Conv.,0-1,0-0
Time of Possession,35:50,24:10
