Quarter,Time,Down,ToGo,Location,CIN,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CIN 25,0,0,Andy Dalton pass complete short left to Tyler Boyd for 3 yards (tackle by Tre Flowers),0.610,0.470
1,14:19,2,7,CIN 28,0,0,Andy Dalton pass incomplete deep right intended for John Ross,0.470,-0.230
1,14:14,3,7,CIN 28,0,0,Andy Dalton pass complete short middle to Tyler Boyd for 14 yards (tackle by Ugochukwu Amadi),-0.230,1.730
1,13:35,1,10,CIN 42,0,0,Andy Dalton pass complete short left to Tyler Boyd for 10 yards (tackle by Tedric Thompson),1.730,2.390
1,12:53,1,10,SEA 48,0,0,Andy Dalton pass incomplete short right intended for John Ross,2.390,1.850
1,12:48,2,10,SEA 48,0,0,Andy Dalton pass incomplete short left intended for Joe Mixon (defended by Jadeveon Clowney),1.850,1.160
1,12:43,3,10,SEA 48,0,0,Andy Dalton pass complete short left to Joe Mixon for -3 yards (tackle by Bobby Wagner),1.160,-0.130
1,12:04,4,13,CIN 49,0,0,"Kevin Huber punts 51 yards, touchback.",-0.130,-0.280
1,11:51,1,10,SEA 20,0,0,Chris Carson left tackle for 1 yard (tackle by Carlos Dunlap and Sam Hubbard),0.280,-0.130
1,11:24,2,9,SEA 21,0,0,Russell Wilson pass incomplete deep left,-0.130,-0.820
1,11:19,3,9,SEA 21,0,0,Russell Wilson pass complete short left to D.K. Metcalf for 6 yards (tackle by Dre Kirkpatrick),-0.820,-1.570
1,10:34,4,3,SEA 27,0,0,"Michael Dickson punts 45 yards, fair catch by Alex Erickson at CIN-28",-1.570,-0.810
1,10:26,1,10,CIN 28,0,0,"Joe Mixon right tackle for 1 yard (tackle by Bobby Wagner). Penalty on Drew Sample: Offensive Holding, 10 yards (no play)",0.810,-0.040
1,10:01,1,20,CIN 18,0,0,Andy Dalton pass complete short middle to John Ross for 20 yards (tackle by Bobby Wagner),-0.040,1.470
1,9:13,1,10,CIN 38,0,0,Andy Dalton pass complete short middle to Alex Erickson for 6 yards (tackle by K.J. Wright),1.470,1.730
1,8:35,2,4,CIN 44,0,0,Joe Mixon right guard for -1 yards (tackle by K.J. Wright and Jadeveon Clowney),1.730,0.890
1,7:54,3,5,CIN 43,0,0,Andy Dalton pass incomplete short left intended for Tyler Boyd,0.890,-0.520
1,7:51,4,5,CIN 43,0,0,"Kevin Huber punts 52 yards out of bounds. Penalty on Cody Barton: Running Into the Kicker, 5 yards (no play)",-0.520,2.130
1,7:43,1,10,CIN 48,0,0,Joe Mixon up the middle for 3 yards (tackle by Al Woods and Bryan Mone),2.130,1.990
1,7:00,2,7,SEA 49,0,0,Andy Dalton pass complete short middle to Tyler Boyd for 13 yards (tackle by Bobby Wagner),1.990,3.180
1,6:22,1,10,SEA 36,0,0,Andy Dalton pass incomplete short left,3.180,2.640
1,6:15,2,10,SEA 36,0,0,Andy Dalton pass complete short left to Tyler Boyd for 6 yards (tackle by Tre Flowers),2.640,2.740
1,5:35,3,4,SEA 30,0,0,Andy Dalton pass complete short middle to Damion Willis for 6 yards (tackle by Tre Flowers),2.740,3.970
1,4:54,1,10,SEA 24,0,0,Andy Dalton pass complete short left to Alex Erickson for 6 yards (tackle by Mychal Kendricks),3.970,4.290
1,4:11,2,4,SEA 18,0,0,Joe Mixon up the middle for 2 yards (tackle by Quinton Jefferson and K.J. Wright),4.290,3.950
1,3:25,3,2,SEA 16,0,0,"Penalty on CIN: Delay of Game, 5 yards (no play)",3.950,3.140
1,2:59,3,7,SEA 21,0,0,Andy Dalton pass incomplete short left,3.140,2.060
1,2:52,4,7,SEA 21,3,0,Randy Bullock 39 yard field goal good,2.060,3.000
1,2:48,,,CIN 35,3,0,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
1,2:48,1,10,SEA 25,3,0,Chris Carson left guard for 3 yards (tackle by Sam Hubbard),0.610,0.470
1,2:16,2,7,SEA 28,3,0,Russell Wilson sacked by Carlos Dunlap for -10 yards,0.470,-1.720
1,1:34,3,17,SEA 18,3,0,Chris Carson left tackle for 5 yards (tackle by Clayton Fejedelem),-1.720,-1.830
1,0:58,4,12,SEA 23,3,0,"Michael Dickson punts 43 yards, returned by Alex Erickson for 9 yards (tackle by Ben Burr-Kirven). Alex Erickson fumbles (forced by Ben Burr-Kirven), recovered by Nick Bellore at CIN-43 (tackle by Samaje Perine). Penalty on Germaine Pratt: Illegal Block Above the Waist (Declined)",-1.830,2.720
1,0:40,1,10,CIN 43,3,0,Russell Wilson pass complete short left to Chris Carson for 8 yards (tackle by Carlos Dunlap),2.720,3.260
1,0:10,2,2,CIN 35,3,0,Chris Carson left guard for 3 yards (tackle by Sam Hubbard and Shawn Williams),3.260,3.450
Quarter,Time,Down,ToGo,Location,CIN,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CIN 32,3,0,Russell Wilson sacked by Sam Hubbard for -9 yards,3.450,1.690
2,14:15,2,19,CIN 41,3,0,Russell Wilson pass complete short middle to Chris Carson for -3 yards (tackle by Preston Brown and Carlos Dunlap),1.690,0.630
2,13:25,3,22,CIN 44,3,0,Russell Wilson pass incomplete deep right intended for Will Dissly,0.630,0.330
2,13:17,4,22,CIN 44,3,0,"Penalty on Ugochukwu Amadi: False Start, 5 yards (no play)",0.330,0.000
2,13:17,4,27,CIN 49,3,0,"Michael Dickson punts 38 yards, fair catch by Alex Erickson at CIN-11",0.000,0.370
2,13:10,1,10,CIN 11,3,0,"Andy Dalton pass complete short left to John Ross for 6 yards. Penalty on John Ross: Illegal Formation, 5 yards (no play)",-0.370,-0.570
2,12:46,1,15,CIN 6,3,0,Andy Dalton pass incomplete short middle intended for John Ross,-0.570,-1.150
2,12:42,2,15,CIN 6,3,0,Andy Dalton pass complete short left to Joe Mixon for 10 yards (tackle by Tre Flowers),-1.150,-0.840
2,11:57,3,5,CIN 16,3,0,Andy Dalton sacked by Quinton Jefferson for -6 yards,-0.840,-2.490
2,11:20,4,11,CIN 10,3,0,"Kevin Huber punts 38 yards, fair catch by Tyler Lockett at CIN-48",-2.490,-2.390
2,11:12,1,10,CIN 48,3,0,Rashaad Penny left end for 5 yards (tackle by Jessie Bates and Carl Lawson),2.390,2.520
2,10:42,2,5,CIN 43,3,0,Rashaad Penny up the middle for 3 yards (tackle by Preston Brown and Kerry Wynn),2.520,2.210
