Quarter,Time,Tm,Detail,LVR,NOR
1.0,1:32,Saints,Alvin Kamara 3 yard rush (Wil Lutz kick),0,7
2.0,12:43,Saints,Wil Lutz 37 yard field goal,0,10
,7:15,Saints,Alvin Kamara 16 yard pass from Andy Dalton (Wil Lutz kick),0,17
3.0,11:03,Saints,Alvin Kamara 36 yard pass from Andy Dalton (Wil Lutz kick),0,24
