Quarter,Time,Down,ToGo,Location,LVR,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LVR 25,0,0,Josh Jacobs left end for 1 yard (tackle by Alontae Taylor),0.610,0.200
1,14:21,2,9,LVR 26,0,0,Derek Carr pass complete short middle to Foster Moreau for -3 yards (tackle by Demario Davis and Cameron Jordan),0.200,-0.890
1,13:36,3,12,LVR 23,0,0,Derek Carr pass incomplete deep left intended for Mack Hollins,-0.890,-1.830
1,13:30,4,12,LVR 23,0,0,"AJ Cole punts 54 yards, returned by Rashid Shaheed for 10 yards (tackle by Jesper Horsted)",-1.830,-1.140
1,13:20,1,10,NOR 33,0,0,Andy Dalton pass complete short left to Juwan Johnson for 6 yards (tackle by Divine Deablo and Anthony Averett),1.140,1.330
1,12:47,2,5,NOR 39,0,0,Andy Dalton pass incomplete short right intended for Chris Olave (defended by Rock Ya-Sin),1.330,0.700
1,12:43,3,4,NOR 39,0,0,Andy Dalton pass complete short right to Mark Ingram for 2 yards (tackle by Denzel Perryman),0.700,-0.650
1,11:58,4,2,NOR 41,0,0,"Blake Gillikin punts 46 yards, returned by DJ Turner for 3 yards (tackle by Zack Baun)",-0.650,0.140
1,11:48,1,10,LVR 16,0,0,Josh Jacobs right end for 6 yards (tackle by Pete Werner),-0.140,0.210
1,11:08,2,5,LVR 22,0,0,Josh Jacobs left end for -3 yards (tackle by Kentavius Street),0.210,-0.950
1,10:27,3,7,LVR 19,0,0,Derek Carr pass complete short middle to Mack Hollins for 13 yards (tackle by Paulson Adebo),-0.950,1.070
1,9:47,1,10,LVR 32,0,0,Derek Carr pass incomplete short right intended for Jesper Horsted (defended by Alontae Taylor),1.070,0.530
1,9:41,2,10,LVR 32,0,0,Josh Jacobs right guard for 16 yards (tackle by Tyrann Mathieu),0.530,2.130
1,9:00,1,10,LVR 48,0,0,Derek Carr pass incomplete deep right intended for Keelan Cole,2.130,1.580
1,8:53,2,10,LVR 48,0,0,Josh Jacobs left guard for no gain (tackle by Kentavius Street) (no play),1.580,0.910
1,8:32,2,15,LVR 43,0,0,Derek Carr pass incomplete short left intended for Josh Jacobs,0.910,0.230
1,8:27,3,15,LVR 43,0,0,Derek Carr pass incomplete deep left intended for Davante Adams,0.230,-0.520
