Unnamed: 0,LVR,NOR
First Downs,13,22
Rush-Yds-TDs,13-38-0,32-136-1
Cmp-Att-Yd-TD-INT,23-39-173-0-1,23-31-231-2-0
Sacked-Yards,4-28,0-0
Net Pass Yards,145,231
Total Yards,183,367
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,6-59,5-27
Third Down Conv.,5-14,7-12
Fourth Down Conv.,2-3,0-1
Time of Possession,25:09,34:51
