0,1
Officials,Officials
Referee,Gerry Austin
Umpire,Ruben Fowler
Head Linesman,Jerry Bergman
Line Judge,Carl Johnson
Back Judge,Billy Smith
Side Judge,Alberto Riveron
Field Judge,Scott Edwards
