Unnamed: 0,TEN,DET
First Downs,22,22
Rush-Yds-TDs,24-139-0,23-137-0
Cmp-Att-Yd-TD-INT,25-33-238-2-1,22-40-260-1-1
Sacked-Yards,3-14,4-22
Net Pass Yards,224,238
Total Yards,363,375
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,12-83,17-138
Third Down Conv.,5-12,7-16
Fourth Down Conv.,1-1,0-0
Time of Possession,30:51,29:09
