Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Sam Martin kicks off 69 yards, returned by Marc Mariani for 24 yards (tackle by Antwione Williams). Penalty on Cody Riggs: Offensive Holding, 8 yards",0.000,0.380
1,14:55,1,10,TEN 7,0,0,"DeMarco Murray middle for 5 yards (tackle by Tahir Whitehead and Tyrunn Walker). Penalty on Haloti Ngata: Defensive Offside, 5 yards (no play)",-0.380,-0.120
1,14:31,1,5,TEN 12,0,0,DeMarco Murray middle for -1 yards (tackle by Antwione Williams),-0.120,-0.490
1,13:47,2,6,TEN 11,0,0,DeMarco Murray middle for 1 yard (tackle by Tyrunn Walker and Antwione Williams),-0.490,-0.840
1,13:10,3,5,TEN 12,0,0,Marcus Mariota pass complete short right to DeMarco Murray for 7 yards (tackle by Rafael Bush),-0.840,0.150
1,12:43,1,10,TEN 19,0,0,DeMarco Murray left tackle for 3 yards (tackle by Devin Taylor),0.150,0.070
1,12:03,2,7,TEN 22,0,0,Derrick Henry left tackle for 9 yards (tackle by Tahir Whitehead and Devin Taylor),0.070,1.000
1,11:23,1,10,TEN 31,0,0,Marcus Mariota pass complete deep left to Delanie Walker for 32 yards (tackle by Nevin Lawson),1.000,3.120
1,10:47,1,10,DET 37,0,0,"Derrick Henry right tackle for -1 yards (tackle by A'Shawn Robinson). Penalty on Khyri Thornton: Defensive Offside, 5 yards (no play)",3.120,3.850
1,10:19,1,5,DET 32,0,0,DeMarco Murray middle for 3 yards (tackle by A'Shawn Robinson),3.850,3.850
1,9:33,1,5,DET 32,0,0,Timeout #1 by Tennessee Titans,3.850,3.650
1,9:33,2,2,DET 29,0,0,DeMarco Murray middle for -2 yards (tackle by Khyri Thornton),3.650,2.680
1,8:50,3,4,DET 31,0,0,Marcus Mariota sacked by Devin Taylor for -2 yards,2.680,1.160
1,8:02,4,6,DET 33,0,0,Ryan Succop 51 yard field goal no good,1.160,-1.660
1,7:57,1,10,DET 41,0,0,Ameer Abdullah right end for 1 yard (tackle by Da'Norris Searcy),1.660,1.260
1,7:37,2,9,DET 42,0,0,Matthew Stafford pass incomplete short middle intended for Anquan Boldin,1.260,0.560
1,7:34,3,9,DET 42,0,0,Matthew Stafford pass incomplete deep right intended for Golden Tate,0.560,-0.590
1,7:28,4,9,DET 42,0,0,"Sam Martin punts 48 yards, fair catch by Marc Mariani. Penalty on Brice McCain: Offensive Holding, 5 yards",-0.590,0.380
1,7:20,1,10,TEN 5,0,2,"DeMarco Murray for -5 yards, safety",-0.380,-2.000
1,7:20,,,TEN 20,0,2,"Brett Kern kicks off 59 yards, returned by Andre Roberts for 10 yards (tackle by Sean Spence). Penalty on Brandon Copeland: Offensive Holding, 10 yards",0.000,-0.340
1,7:10,1,10,DET 21,0,2,"Matthew Stafford pass incomplete deep right intended for Golden Tate is intercepted by Perrish Cox at TEN-31. Penalty on DaQuan Jones: Defensive Offside, 5 yards (no play)",0.340,1.070
1,7:03,1,5,DET 26,0,2,Ameer Abdullah middle for 5 yards (tackle by David Bass),1.070,1.000
1,6:43,1,10,DET 31,0,2,Matthew Stafford pass complete deep left to Marvin Jones for 30 yards (tackle by Jason McCourty),1.000,2.980
1,6:26,1,10,TEN 39,0,2,Matthew Stafford pass complete short right to Anquan Boldin for 12 yards (tackle by Wesley Woodyard),2.980,3.780
1,6:06,1,10,TEN 27,0,2,Ameer Abdullah right tackle for 3 yards (tackle by Avery Williamson),3.780,3.640
1,5:47,2,7,TEN 24,0,2,Matthew Stafford pass complete short left to Eric Ebron for 6 yards (tackle by Jason McCourty),3.640,3.840
1,5:06,3,1,TEN 18,0,2,Ameer Abdullah right end for 4 yards (tackle by Karl Klug),3.840,4.650
1,4:34,1,10,TEN 14,0,2,"Ameer Abdullah right end for 14 yards. Penalty on Eric Ebron: Offensive Holding, 10 yards (no play)",4.650,3.970
1,4:28,1,20,TEN 24,0,2,Matthew Stafford pass incomplete deep right intended for Eric Ebron (defended by Da'Norris Searcy),3.970,2.740
1,4:23,2,20,TEN 24,0,8,"Matthew Stafford pass complete deep left to Anquan Boldin for 24 yards, touchdown",2.740,7.000
1,4:23,,,TEN 24,0,9,Matt Prater kicks extra point good,0.000,0.000
1,4:23,,,DET 35,0,9,"Sam Martin kicks off 65 yards, touchback",0.000,-0.610
1,4:15,1,10,TEN 25,0,9,Marcus Mariota pass complete short right to Anthony Fasano for 1 yard (tackle by Tahir Whitehead),0.610,0.200
1,3:33,2,9,TEN 26,0,9,Marcus Mariota pass complete short left to Delanie Walker for 8 yards (tackle by Tavon Wilson),0.200,0.560
1,2:45,3,1,TEN 34,0,9,Derrick Henry left tackle for 5 yards (tackle by Wallace Gilberry),0.560,1.530
1,2:13,1,10,TEN 39,0,9,Marcus Mariota pass complete short right to Delanie Walker for -1 yards (tackle by Tavon Wilson),1.530,0.850
1,1:33,2,11,TEN 38,0,9,Marcus Mariota pass incomplete short left intended for Andre Johnson,0.850,0.170
1,1:24,3,11,TEN 38,0,9,"Marcus Mariota middle for 5 yards (tackle by Antwione Williams and Devin Taylor). Penalty on Darius Slay: Defensive Holding, 5 yards",0.170,2.130
1,1:05,1,10,TEN 48,0,9,Marcus Mariota pass complete short right to Delanie Walker for 5 yards (tackle by Tahir Whitehead),2.130,2.260
1,0:20,2,5,DET 47,0,9,"Derrick Henry middle for -7 yards (tackle by Tyrunn Walker and Tahir Whitehead). Penalty on Devin Taylor: Defensive Offside, 5 yards (no play)",2.260,2.790
Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 42,0,9,Derrick Henry right tackle for 4 yards (tackle by Haloti Ngata),2.790,2.780
2,14:22,2,6,DET 38,0,9,Marcus Mariota pass complete short left to Tajae Sharpe for 11 yards (tackle by Nevin Lawson),2.780,3.780
2,14:02,1,10,DET 27,0,9,Marcus Mariota pass incomplete deep left intended for Anthony Fasano,3.780,3.230
2,13:57,2,10,DET 27,0,9,"Derrick Henry left tackle for 3 yards (tackle by Darius Slay). Penalty on Tajae Sharpe: Illegal Crackback, 15 yards",3.230,1.610
2,13:39,2,22,DET 39,0,9,Marcus Mariota pass complete short right to DeMarco Murray for 3 yards (tackle by Stefan Charles),1.610,1.360
2,12:57,3,19,DET 36,0,9,Marcus Mariota pass complete short middle to DeMarco Murray for 8 yards (tackle by Tahir Whitehead),1.360,1.590
2,12:08,4,11,DET 28,3,9,Ryan Succop 46 yard field goal good,1.590,3.000
2,12:08,,,TEN 35,3,9,"Ryan Succop kicks off 68 yards, returned by Dwayne Washington for 25 yards (tackle by Jason McCourty). Penalty on Kevin Byard: Offside on Free Kick, 5 yards",0.000,-0.740
2,11:55,1,10,DET 27,3,9,Theo Riddick left tackle for 7 yards (tackle by Rashad Johnson),0.740,1.140
2,11:19,2,3,DET 34,3,9,Matthew Stafford pass incomplete short right intended for Marvin Jones,1.140,0.430
2,11:15,3,3,DET 34,3,9,Matthew Stafford pass complete short right to Anquan Boldin for 6 yards (tackle by Perrish Cox). Penalty on Brice McCain: Defensive Holding (Declined),0.430,1.600
2,10:52,1,10,DET 40,3,9,"Theo Riddick right tackle for 4 yards (tackle by Karl Klug). Penalty on Travis Swanson: Offensive Holding, 10 yards (no play)",1.600,0.940
2,10:26,1,20,DET 30,3,9,Matthew Stafford pass incomplete deep left intended for Golden Tate,0.940,-0.300
2,10:20,2,20,DET 30,3,9,Matthew Stafford pass complete short right to Theo Riddick for 12 yards (tackle by Karl Klug),-0.300,0.630
2,9:35,3,8,DET 42,3,9,"Matthew Stafford middle for 7 yards (tackle by Da'Norris Searcy). Penalty on Kevin Dodd: Illegal Use of Hands, 5 yards",0.630,2.520
2,9:13,1,10,TEN 46,3,9,Theo Riddick left tackle for -1 yards (tackle by Wesley Woodyard and Angelo Blackson),2.520,1.840
2,8:38,2,11,TEN 47,3,9,Matthew Stafford pass complete short right to Marvin Jones for 9 yards (tackle by Perrish Cox),1.840,2.350
2,8:18,3,2,TEN 38,3,9,Theo Riddick right tackle for -1 yards (tackle by Rashad Johnson and Aaron Wallace),2.350,0.660
2,7:36,4,3,TEN 39,3,9,Sam Martin punts 32 yards,0.660,0.380
2,7:27,1,10,TEN 7,3,9,DeMarco Murray middle for 67 yards (tackle by Darius Slay),-0.380,3.840
2,6:42,1,10,DET 26,3,9,Derrick Henry middle for no gain,3.840,3.300
2,6:01,2,10,DET 26,3,9,Marcus Mariota pass incomplete short right intended for Anthony Fasano (defended by A'Shawn Robinson),3.300,2.610
2,5:54,3,10,DET 26,3,9,Marcus Mariota sacked by Haloti Ngata and Devin Taylor for -12 yards,2.610,0.720
2,5:11,4,22,DET 38,3,9,Brett Kern punts 37 yards,0.720,0.380
2,5:02,1,10,DET 1,3,9,Ameer Abdullah left tackle for 1 yard (tackle by Brian Orakpo),-0.380,-0.710
2,4:19,2,9,DET 2,3,9,Matthew Stafford pass complete short right to Marvin Jones for 4 yards (tackle by Perrish Cox),-0.710,-0.840
