Unnamed: 0,JAX,BUF
First Downs,25,18
Rush-Yds-TDs,39-226-2,35-167-2
Cmp-Att-Yd-TD-INT,12-23-127-1-2,8-19-160-1-0
Sacked-Yards,3-20,0-0
Net Pass Yards,107,160
Total Yards,333,327
Fumbles-Lost,0-0,2-0
Turnovers,2,0
Penalties-Yards,10-90,13-80
Third Down Conv.,5-13,2-10
Fourth Down Conv.,0-0,0-0
Time of Possession,32:42,27:18
