Quarter,Time,Down,ToGo,Location,JAX,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Josh Lambo kicks off 66 yards, returned by Isaiah McKenzie for no gain (tackle by Martrell Spaight)",0.000,0.870
1,14:53,1,10,BUF 29,0,0,Josh Allen left tackle for 5 yards (tackle by Telvin Smith),0.870,1.000
1,14:15,2,5,BUF 34,0,0,LeSean McCoy left guard for 2 yards (tackle by Abry Jones and Calais Campbell),1.000,0.560
1,13:39,3,3,BUF 36,0,0,Josh Allen up the middle for 7 yards (tackle by D.J. Hayden),0.560,1.800
1,12:58,1,10,BUF 43,0,0,Isaiah McKenzie left end for 2 yards (tackle by Myles Jack),1.800,1.520
1,12:22,2,8,BUF 45,0,0,LeSean McCoy right guard for no gain (tackle by Calais Campbell),1.520,0.830
1,11:45,3,8,BUF 45,0,0,Josh Allen pass incomplete short middle intended for Zay Jones (defended by Calais Campbell) (defended by A.J. Bouye),0.830,-0.390
1,11:40,4,8,BUF 45,0,0,Colton Schmidt punts 54 yards downed by Julian Stanford,-0.390,0.380
1,11:29,1,10,JAX 1,0,0,Leonard Fournette up the middle for 3 yards (tackle by Micah Hyde and Jordan Poyer),-0.380,-0.560
1,10:47,2,7,JAX 4,0,0,"Blake Bortles pass incomplete deep right intended for Donte Moncrief. Penalty on Tremaine Edmunds: Defensive Holding, 5 yards (no play)",-0.560,-0.380
1,10:41,1,10,JAX 9,0,0,Blake Bortles pass complete short left to Tommy Bohanon for 12 yards (tackle by Lorenzo Alexander),-0.380,0.340
1,10:06,1,10,JAX 21,0,0,Leonard Fournette right guard for 2 yards (tackle by Kyle Williams),0.340,0.070
1,9:32,2,8,JAX 23,0,0,Leonard Fournette up the middle for 7 yards (tackle by TreDavious White),0.070,0.300
1,8:46,3,1,JAX 30,0,0,Blake Bortles pass complete short right to Leonard Fournette for no gain (tackle by Tremaine Edmunds),0.300,-1.370
1,7:46,4,1,JAX 30,0,0,"Penalty on JAX: Delay of Game, 5 yards (no play)",-1.370,-1.700
1,7:34,4,6,JAX 25,0,0,Logan Cooke punts 50 yards out of bounds,-1.700,-0.610
1,7:25,1,10,BUF 25,0,0,Josh Allen pass complete short left to LeSean McCoy for 7 yards (tackle by Malik Jackson),0.610,1.010
1,6:44,2,3,BUF 32,0,0,LeSean McCoy left guard for 4 yards (tackle by Calais Campbell and Telvin Smith),1.010,1.330
1,6:07,1,10,BUF 36,0,0,"Josh Allen pass complete deep left to Kelvin Benjamin for 32 yards (tackle by Jalen Ramsey and D.J. Hayden). Penalty on Jalen Ramsey: Face Mask (15 Yards), 15 yards",1.330,4.440
1,5:40,1,10,JAX 17,0,0,Josh Allen pass complete short left to Jason Croom for 11 yards (tackle by Barry Church),4.440,5.830
1,5:06,1,6,JAX 6,0,6,"Isaiah McKenzie right end for 6 yards, touchdown",5.830,7.000
1,5:02,,,JAX 15,0,6,"Penalty on BUF: Delay of Game, 5 yards (no play)",0.000,0.000
1,5:02,,,JAX 20,0,7,Stephen Hauschka kicks extra point good,0.000,0.000
1,5:02,,,BUF 35,0,7,"Stephen Hauschka kicks off 55 yards, returned by Rashad Greene for no gain (tackle by Andre Holmes)",0.000,0.940
1,4:55,1,10,JAX 30,0,7,Blake Bortles pass complete short right to Blake Bell for 5 yards (tackle by Tremaine Edmunds),0.940,1.070
