Quarter,Time,Tm,Detail,NOR,ATL
1.0,13:25,Saints,Devery Henderson 76 yard pass from Drew Brees (John Carney kick),7,0
,4:44,Saints,Deuce McAllister 1 yard rush (John Carney kick),14,0
,1:14,Falcons,Morten Andersen 22 yard field goal,14,3
2.0,1:11,Falcons,Morten Andersen 30 yard field goal,14,6
,0:00,Saints,Terrance Copper 48 yard pass from Drew Brees (John Carney kick),21,6
3.0,8:04,Falcons,Warrick Dunn 1 yard rush (Morten Andersen kick),21,13
4.0,5:48,Saints,John Carney 25 yard field goal,24,13
,2:23,Saints,Deuce McAllister 9 yard rush (John Carney kick),31,13
