Unnamed: 0,NOR,ATL
First Downs,20,21
Rush-Yds-TDs,25-95-2,45-281-1
Cmp-Att-Yd-TD-INT,21-30-349-2-0,9-24-84-0-0
Sacked-Yards,2-17,3-32
Net Pass Yards,332,52
Total Yards,427,333
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,5-35,7-65
Third Down Conv.,6-13,4-15
Fourth Down Conv.,0-0,2-2
Time of Possession,25:41,34:19
