Unnamed: 0,CHI,WAS
First Downs,22,15
Rush-Yds-TDs,24-60-0,24-31-1
Cmp-Att-Yd-TD-INT,29-51-309-1-2,25-36-324-2-0
Sacked-Yards,2-13,1-10
Net Pass Yards,296,314
Total Yards,356,345
Fumbles-Lost,1-0,2-1
Turnovers,2,1
Penalties-Yards,9-49,7-48
Third Down Conv.,5-16,6-15
Fourth Down Conv.,1-1,0-0
Time of Possession,31:19,28:41
