Quarter,Time,Tm,Detail,CHI,WAS
2.0,0:17,Redskins,Todd Yoder 21 yard pass from Todd Collins (Shaun Suisham kick),0,7
3.0,11:53,Redskins,Mike Sellers 1 yard rush (Shaun Suisham kick),0,14
,5:25,Bears,Robbie Gould 30 yard field goal,3,14
,3:23,Bears,Bernard Berrian 17 yard pass from Brian Griese (Robbie Gould kick),10,14
4.0,11:52,Redskins,Shaun Suisham 23 yard field goal,10,17
,6:48,Bears,Robbie Gould 22 yard field goal,13,17
,2:41,Redskins,Ladell Betts 16 yard pass from Todd Collins (Shaun Suisham kick),13,24
,0:30,Bears,Robbie Gould 21 yard field goal,16,24
