Unnamed: 0,TAM,CHI
First Downs,16,28
Rush-Yds-TDs,18-60-0,31-139-0
Cmp-Att-Yd-TD-INT,25-38-271-1-3,19-26-354-6-0
Sacked-Yards,4-20,1-10
Net Pass Yards,251,344
Total Yards,311,483
Fumbles-Lost,1-0,0-0
Turnovers,3,0
Penalties-Yards,11-99,4-38
Third Down Conv.,3-12,4-8
Fourth Down Conv.,2-2,0-0
Time of Possession,31:54,28:06
