Unnamed: 0,PHI,SEA
First Downs,23,16
Rush-Yds-TDs,38-178-2,24-100-1
Cmp-Att-Yd-TD-INT,17-31-143-0-2,22-33-208-1-0
Sacked-Yards,0-0,2-11
Net Pass Yards,143,197
Total Yards,321,297
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,5-40,5-35
Third Down Conv.,9-16,6-14
Fourth Down Conv.,1-1,0-0
Time of Possession,32:58,27:02
