Quarter,Time,Down,ToGo,Location,PHI,SEA,Detail,EPB,EPA
1,5:58,2,12,SEA 23,7,0,Kenneth Walker right guard for 3 yards (tackle by Milton Williams),-0.210,-0.490
1,5:19,3,9,SEA 26,7,0,Drew Lock pass complete short middle to D.K. Metcalf for 8 yards (tackle by Bradley Roby),-0.490,-1.110
1,4:38,4,1,SEA 34,7,0,"Michael Dickson punts 54 yards, fair catch by Britain Covey at PHI-12",-1.110,0.350
1,4:29,1,10,PHI 12,7,0,D'Andre Swift left guard for 5 yards (tackle by Jordyn Brooks),-0.350,-0.230
1,3:52,2,5,PHI 17,7,0,Jalen Hurts pass incomplete deep left intended for D'Andre Swift,-0.230,-0.840
1,3:47,3,5,PHI 17,7,0,"Penalty on Jalen Hurts: False Start, 5 yards (accepted) (no play)",-0.840,-1.420
1,3:47,3,10,PHI 12,7,0,Jalen Hurts pass incomplete short middle intended for Dallas Goedert,-1.420,-2.490
1,3:43,4,10,PHI 12,7,0,Braden Mann punts 61 yards downed by Josh Jobe,-2.490,-0.740
1,3:29,1,10,SEA 27,7,0,Kenneth Walker left end for -6 yards (tackle by Josh Sweat),0.740,-0.610
1,2:50,2,16,SEA 21,7,0,Drew Lock pass complete short middle to Colby Parkinson for 6 yards (tackle by Nicholas Morrow and Shaquille Leonard),-0.610,-0.490
1,2:12,3,10,SEA 27,7,0,Drew Lock pass complete short middle to Tyler Lockett for 12 yards (tackle by Haason Reddick),-0.490,1.530
1,1:45,1,10,SEA 39,7,0,Drew Lock pass complete short right to Tyler Lockett for 5 yards (tackle by Sydney Brown),1.530,1.660
1,1:10,2,5,SEA 44,7,0,Kenneth Walker up the middle for 4 yards (tackle by Sydney Brown),1.660,1.490
1,0:31,3,1,SEA 48,7,0,"Penalty on Noah Fant: False Start, 5 yards (accepted) (no play)",1.490,0.830
1,0:09,3,6,SEA 43,7,0,Drew Lock pass incomplete short right intended for Noah Fant,0.830,-0.520
1,0:05,4,6,SEA 43,7,0,"Michael Dickson punts 45 yards downed by Jon Rhattigan. Penalty on Jon Rhattigan: Illegal Bat / Offense, 10 yards (accepted) (no play)",-0.520,-1.180
Quarter,Time,Down,ToGo,Location,PHI,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,16,SEA 33,7,0,"Michael Dickson punts 54 yards, returned by Britain Covey for 16 yards (tackle by Will Dissly and Jon Rhattigan)",-1.180,-0.870
2,14:46,1,10,PHI 29,7,0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Artie Burns),0.870,0.330
2,14:43,2,10,PHI 29,7,0,Jalen Hurts pass complete short middle to A.J. Brown for 9 yards (tackle by Tre Brown),0.330,0.830
2,14:08,3,1,PHI 38,7,0,Jalen Hurts up the middle for 2 yards (tackle by Bobby Wagner),0.830,1.600
2,13:34,1,10,PHI 40,7,0,D'Andre Swift up the middle for 4 yards (tackle by Cameron Young),1.600,1.590
2,12:56,2,6,PHI 44,7,0,Jalen Hurts left end for 7 yards (tackle by Julian Love),1.590,2.320
2,12:26,1,10,SEA 49,7,0,D'Andre Swift up the middle for 4 yards (tackle by Bobby Wagner and Mario Edwards),2.320,2.320
2,11:47,2,6,SEA 45,7,0,Jalen Hurts pass complete short left to A.J. Brown for 10 yards (tackle by Julian Love and Riq Woolen),2.320,3.250
2,11:26,1,10,SEA 35,7,0,D'Andre Swift right guard for 11 yards (tackle by Julian Love),3.250,3.970
2,11:03,1,10,SEA 24,7,0,D'Andre Swift right tackle for 2 yards (tackle by Artie Burns),3.970,3.700
2,10:21,2,8,SEA 22,7,0,Jalen Hurts right end for 2 yards (tackle by Leonard Williams),3.700,3.270
2,9:39,3,6,SEA 20,7,0,Jalen Hurts right guard for 2 yards (tackle by Leonard Williams and Jordyn Brooks),3.270,2.320
2,8:48,4,4,SEA 18,7,0,Jalen Hurts pass complete short middle to Julio Jones for 6 yards (tackle by Quandre Diggs),2.320,4.780
2,8:27,1,10,SEA 12,7,0,Kenneth Gainwell up the middle for no gain (tackle by Boye Mafe),4.780,4.100
2,7:51,2,10,SEA 12,7,0,D'Andre Swift right guard for 9 yards (tackle by Jordyn Brooks),4.100,5.060
2,7:19,3,1,SEA 3,7,0,"Penalty on Jason Kelce: False Start, 5 yards (accepted) (no play)",5.060,3.930
2,7:02,3,6,SEA 8,7,0,D'Andre Swift left guard for no gain (tackle by Quandre Diggs),3.930,2.960
2,6:24,4,6,SEA 8,10,0,Jake Elliott 27 yard field goal good,2.960,3.000
2,6:20,,,PHI 35,10,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,6:20,1,10,SEA 25,10,0,"Drew Lock pass incomplete deep left intended for D.K. Metcalf. Penalty on Josh Jobe: Defensive Pass Interference, 20 yards (accepted) (no play)",0.610,1.930
2,6:15,1,10,SEA 45,10,0,Drew Lock pass complete short right to Jaxon Smith-Njigba for 3 yards (tackle by Sydney Brown),1.930,1.790
2,5:51,2,7,SEA 48,10,0,Kenneth Walker right guard for 6 yards (tackle by Kevin Byard and Shaquille Leonard),1.790,1.880
2,5:13,3,1,PHI 46,10,0,Kenneth Walker right guard for 1 yard (tackle by Nolan Smith and Shaquille Leonard),1.880,2.590
2,4:26,1,10,PHI 45,10,0,Drew Lock pass complete short middle to Will Dissly for 5 yards (tackle by Sydney Brown),2.590,2.720
2,3:44,2,5,PHI 40,10,0,Kenneth Walker right guard for 13 yards (tackle by Kevin Byard),2.720,3.780
2,3:09,1,10,PHI 27,10,0,Kenneth Walker left end for no gain (tackle by Kelee Ringo),3.780,3.230
2,2:21,2,10,PHI 27,10,0,Drew Lock pass incomplete short left intended for Zach Charbonnet,3.230,2.540
2,2:17,3,10,PHI 27,10,0,Drew Lock pass complete short middle to Jaxon Smith-Njigba for 13 yards (tackle by Reed Blankenship),2.540,4.650
2,2:00,1,10,PHI 14,10,0,Zach Charbonnet left guard for 3 yards (tackle by Brandon Graham),4.650,4.520
2,1:53,,,,,,Timeout #2 by Philadelphia Eagles,,
2,1:53,2,7,PHI 11,10,0,Drew Lock pass incomplete short right intended for D.K. Metcalf (defended by Kelee Ringo),4.520,3.620
2,1:50,3,7,PHI 11,10,0,Drew Lock pass complete short middle to Jaxon Smith-Njigba for 3 yards (tackle by Reed Blankenship),3.620,2.980
2,1:45,,,,,,Timeout #3 by Philadelphia Eagles,,
2,1:45,,,,,,Timeout #1 by Seattle Seahawks,,
2,1:45,4,4,PHI 8,10,3,Jason Myers 26 yard field goal good,2.980,3.000
2,1:42,,,SEA 35,10,3,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,1:42,1,10,PHI 25,10,3,"Jalen Hurts pass complete short right to DeVonta Smith for 15 yards (tackle by Tre Brown). Penalty on Dre'Mont Jones: Illegal Use of Hands / Defense, 5 yards (declined)",0.610,1.600
2,1:33,1,10,PHI 40,10,3,Jalen Hurts pass incomplete short left,1.600,1.050
2,1:27,2,10,PHI 40,10,3,Jalen Hurts pass incomplete short right intended for Dallas Goedert (defended by Boye Mafe),1.050,0.370
2,1:23,3,10,PHI 40,10,3,Jalen Hurts pass incomplete short right intended for A.J. Brown,0.370,-0.720
2,1:19,4,10,PHI 40,10,3,"Braden Mann punts 45 yards, returned by DeeJay Dallas for 4 yards (tackle by Reed Blankenship)",-0.720,-0.150
2,1:08,1,10,SEA 19,10,3,Drew Lock pass complete short middle to Noah Fant for 6 yards (tackle by Sydney Brown and Nicholas Morrow),0.150,0.480
2,0:50,2,4,SEA 25,10,3,"Drew Lock pass incomplete short right. Penalty on Drew Lock: Intentional Grounding, 10 yards (accepted)",0.480,-1.760
2,0:45,3,14,SEA 15,10,3,"Zach Charbonnet right tackle for 2 yards (tackle by Nicholas Morrow and Kevin Byard). Penalty on Evan Brown: Offensive Holding, 10 yards (declined)",-1.760,-2.320
2,0:37,4,12,SEA 17,10,3,"Michael Dickson punts 56 yards, returned by Britain Covey for 5 yards (tackle by Julian Love)",-2.320,-1.070
2,0:27,1,10,PHI 32,10,3,Jalen Hurts pass incomplete short left intended for Dallas Goedert,1.070,0.530
2,0:22,2,10,PHI 32,10,3,Jalen Hurts scrambles left tackle for 6 yards (tackle by Jordyn Brooks),0.530,0.630
2,0:15,3,4,PHI 38,10,3,Jalen Hurts pass incomplete short left intended for Kenneth Gainwell (defended by Michael Jackson),0.630,-0.850
2,0:08,4,4,PHI 38,10,3,Braden Mann punts 50 yards out of bounds,-0.850,1.470
Quarter,Time,Down,ToGo,Location,PHI,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,10,3,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,SEA 25,10,3,Drew Lock pass complete short right to Kenneth Walker for 8 yards (tackle by Kevin Byard),0.610,1.140
3,14:34,2,2,SEA 33,10,3,Kenneth Walker right guard for 2 yards (tackle by Kevin Byard and Eli Ricks),1.140,1.270
3,13:49,1,10,SEA 35,10,3,Kenneth Walker right guard for 7 yards (tackle by Eli Ricks),1.270,1.670
3,13:19,2,3,SEA 42,10,3,Drew Lock pass complete short left to Kenneth Walker for 15 yards (tackle by Nicholas Morrow),1.670,2.720
3,12:38,1,10,PHI 43,10,3,Zach Charbonnet up the middle for 6 yards (tackle by Milton Williams),2.720,2.990
3,11:59,2,4,PHI 37,10,3,Zach Charbonnet left guard for 5 yards (tackle by Haason Reddick),2.990,3.450
3,11:13,1,10,PHI 32,10,3,Drew Lock pass complete short left to Jake Bobo for 4 yards (tackle by Nolan Smith),3.450,3.440
3,10:35,2,6,PHI 28,10,3,Drew Lock pass complete short left to Noah Fant for 5 yards (tackle by Nicholas Morrow),3.440,3.400
3,10:13,3,1,PHI 23,10,9,"Kenneth Walker right guard for 23 yards, touchdown",3.400,7.000
3,10:05,,,PHI 15,10,10,Jason Myers kicks extra point good,0.000,0.000
3,10:05,,,SEA 35,10,10,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
3,10:05,1,10,PHI 25,10,10,Jalen Hurts pass complete short left to DeVonta Smith for 9 yards (tackle by Michael Jackson),0.610,1.280
3,9:43,2,1,PHI 34,10,10,Jalen Hurts pass incomplete short right intended for Dallas Goedert,1.280,0.560
3,9:39,3,1,PHI 34,10,10,D'Andre Swift left tackle for 3 yards (tackle by Michael Jackson),0.560,1.400
3,9:33,1,10,PHI 37,10,10,"Penalty on Jordyn Brooks: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.400,1.730
3,9:09,1,10,PHI 42,10,10,Jalen Hurts scrambles right end for 13 yards (tackle by Tre Brown),1.730,2.590
3,8:44,1,10,SEA 45,10,10,D'Andre Swift left guard for 6 yards (tackle by Jordyn Brooks),2.590,2.850
3,8:08,2,4,SEA 39,10,10,Jalen Hurts pass complete short left to D'Andre Swift for -5 yards (tackle by Leonard Williams),2.850,1.490
3,7:22,3,9,SEA 44,10,10,Jalen Hurts pass complete short right to A.J. Brown for 11 yards (tackle by Tre Brown),1.490,3.380
3,6:55,1,10,SEA 33,10,10,Jalen Hurts pass complete short left to Dallas Goedert for -3 yards (tackle by Michael Jackson),3.380,2.430
3,6:10,2,13,SEA 36,10,10,Jalen Hurts pass complete short left to Dallas Goedert for 10 yards (tackle by Michael Jackson),2.430,3.070
3,5:43,3,3,SEA 26,10,10,Jalen Hurts pass complete deep right to DeVonta Smith for 17 yards (tackle by Quandre Diggs),3.070,5.140
3,5:16,1,9,SEA 9,10,10,D'Andre Swift left end for 8 yards (tackle by Bobby Wagner),5.140,5.910
3,4:44,2,1,SEA 1,16,10,"Jalen Hurts up the middle for 1 yard, touchdown",5.910,7.000
3,4:43,,,SEA 15,17,10,Jake Elliott kicks extra point good,0.000,0.000
3,4:43,,,PHI 35,17,10,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,4:43,1,10,SEA 25,17,10,Drew Lock pass incomplete deep right intended for Tyler Lockett,0.610,0.060
3,4:37,2,10,SEA 25,17,10,Kenneth Walker left guard for 1 yard (tackle by Nolan Smith and Nicholas Morrow),0.060,-0.490
3,3:57,3,9,SEA 26,17,10,Drew Lock sacked by Fletcher Cox for -4 yards,-0.490,-1.900
3,3:19,4,13,SEA 22,17,10,"Michael Dickson punts 57 yards, fair catch by Britain Covey at PHI-21",-1.900,-0.340
3,3:09,1,10,PHI 21,17,10,D'Andre Swift left guard for 2 yards (tackle by Darrell Taylor),0.340,0.070
3,2:44,2,8,PHI 23,17,10,"Penalty on Landon Dickerson: False Start, 5 yards (accepted) (no play)",0.070,-0.700
3,2:27,2,13,PHI 18,17,10,Jalen Hurts scrambles right end for 5 yards (tackle by Darrell Taylor),-0.700,-0.630
3,1:41,3,8,PHI 23,17,10,Jalen Hurts pass incomplete deep left intended for A.J. Brown,-0.630,-1.830
3,1:36,4,8,PHI 23,17,10,"Braden Mann punts 50 yards, returned by DeeJay Dallas for 3 yards (tackle by Josh Jobe)",-1.830,-0.940
3,1:26,1,10,SEA 30,17,10,Kenneth Walker up the middle for 7 yards (tackle by Kelee Ringo),0.940,1.340
3,0:45,2,3,SEA 37,17,10,Kenneth Walker up the middle for 13 yards (tackle by Kelee Ringo and Reed Blankenship),1.340,2.260
Quarter,Time,Down,ToGo,Location,PHI,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SEA 50,17,10,Kenneth Walker left guard for 9 yards (tackle by Jordan Davis),2.260,2.930
4,14:16,2,1,PHI 41,17,10,Kenneth Walker up the middle for 3 yards (tackle by Reed Blankenship),2.930,3.050
4,13:35,1,10,PHI 38,17,10,Drew Lock pass complete short left to Will Dissly for 4 yards (tackle by Milton Williams),3.050,3.050
4,12:54,2,6,PHI 34,17,10,Drew Lock pass complete short left to Tyler Lockett for 4 yards (tackle by James Bradberry),3.050,2.870
4,12:10,3,2,PHI 30,17,10,Kenneth Walker right guard for -1 yards (tackle by Nicholas Morrow),2.870,1.380
4,11:21,,,,,,Timeout #1 by Seattle Seahawks,,
4,11:21,4,3,PHI 31,17,10,"Drew Lock pass incomplete short right intended for D.K. Metcalf. Penalty on James Bradberry: Defensive Pass Interference, 5 yards (accepted) (no play)",1.380,3.840
4,11:18,1,10,PHI 26,17,10,Kenneth Walker up the middle for -4 yards (tackle by Bradley Roby),3.840,2.760
4,10:39,2,14,PHI 30,17,10,Drew Lock pass complete short left to D.K. Metcalf for 12 yards (tackle by James Bradberry and Reed Blankenship),2.760,3.750
4,10:09,3,2,PHI 18,17,10,"Drew Lock pass incomplete short middle intended for Kenneth Walker PHI challenged the runner was down by contact ruling, and the original play was overturned. Drew Lock sacked by Jalen Carter for -7 yards",3.750,1.800
4,10:05,,,,,,Timeout #2 by Seattle Seahawks,,
4,10:05,4,9,PHI 25,17,13,Jason Myers 43 yard field goal good,1.800,3.000
4,10:00,,,SEA 35,17,13,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
4,10:00,1,10,PHI 25,17,13,Jalen Hurts pass complete short middle to A.J. Brown for 15 yards (tackle by Quandre Diggs and Tre Brown),0.610,1.600
4,9:25,1,10,PHI 40,17,13,D'Andre Swift up the middle for 5 yards (tackle by Cameron Young),1.600,1.730
4,8:50,2,5,PHI 45,17,13,Jalen Hurts pass complete short left to DeVonta Smith for 10 yards (tackle by Julian Love),1.730,2.590
4,8:15,1,10,SEA 45,17,13,Jalen Hurts pass deep left intended for Quez Watkins is intercepted by Julian Love in end zone and returned for no gain,2.590,-0.280
4,8:08,1,10,SEA 20,17,13,Kenneth Walker right guard for 4 yards (tackle by Shaquille Leonard),0.280,0.270
4,7:32,2,6,SEA 24,17,13,Kenneth Walker left guard for 1 yard (tackle by Jordan Davis),0.270,-0.300
4,6:48,3,5,SEA 25,17,13,Drew Lock pass incomplete short right intended for Tyler Lockett,-0.300,-1.700
4,6:45,4,5,SEA 25,17,13,"Michael Dickson punts 59 yards, returned by Britain Covey for 9 yards (tackle by Nick Bellore)",-1.700,-0.610
4,6:35,1,10,PHI 25,17,13,Kenneth Gainwell left guard for 3 yards (tackle by Julian Love and Jarran Reed),0.610,0.470
4,5:53,2,7,PHI 28,17,13,Jalen Hurts scrambles up the middle for 6 yards (tackle by Bobby Wagner and Artie Burns),0.470,0.560
4,5:15,3,1,PHI 34,17,13,Jalen Hurts up the middle for 2 yards (tackle by Bobby Wagner),0.560,1.330
4,4:32,1,10,PHI 36,17,13,D'Andre Swift left end for 11 yards (tackle by Dre'Mont Jones),1.330,2.060
4,3:47,1,10,PHI 47,17,13,D'Andre Swift left guard for 3 yards (tackle by Bobby Wagner and Dre'Mont Jones),2.060,1.920
4,2:59,2,7,SEA 50,17,13,D'Andre Swift up the middle for no gain (tackle by Leonard Williams),1.920,1.220
4,2:15,3,7,SEA 50,17,13,Jalen Hurts pass incomplete short left intended for Dallas Goedert,1.220,-0.060
4,2:04,4,7,SEA 50,17,13,Braden Mann punts 42 yards downed by Ben VanSumeren,-0.060,0.380
4,1:52,1,10,SEA 8,17,13,Drew Lock pass incomplete short middle intended for Noah Fant,-0.380,-0.780
4,1:47,2,10,SEA 8,17,13,Drew Lock pass complete short middle to D.K. Metcalf for 18 yards (tackle by James Bradberry and Reed Blankenship),-0.780,0.670
4,1:28,1,10,SEA 26,17,13,Drew Lock pass complete short left to Noah Fant for 5 yards,0.670,0.810
4,1:24,2,5,SEA 31,17,13,"Drew Lock pass complete short left to D.K. Metcalf for 6 yards (tackle by James Bradberry) Replay Assistant challenged the pass completion ruling, and the play was upheld.",0.810,1.400
4,1:03,1,10,SEA 37,17,13,Drew Lock pass incomplete short right intended for Tyler Lockett,1.400,0.860
4,1:00,2,10,SEA 37,17,13,Drew Lock pass incomplete short right intended for Tyler Lockett (defended by Nicholas Morrow),0.860,0.170
4,0:56,3,10,SEA 37,17,13,Drew Lock pass complete deep right to D.K. Metcalf for 34 yards (tackle by James Bradberry and Sydney Brown),0.170,3.640
4,0:40,1,10,PHI 29,17,13,Drew Lock pass incomplete deep left intended for Tyler Lockett,3.640,3.100
4,0:36,2,10,PHI 29,17,13,Drew Lock pass incomplete short middle intended for Tyler Lockett,3.100,2.410
4,0:33,3,10,PHI 29,17,19,"Drew Lock pass complete deep right to Jaxon Smith-Njigba for 29 yards, touchdown",2.410,7.000
4,0:28,,,PHI 15,17,20,Jason Myers kicks extra point good,0.000,0.000
4,0:28,,,SEA 35,17,20,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
4,0:28,1,10,PHI 25,17,20,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Michael Jackson),0.610,0.060
4,0:22,2,10,PHI 25,17,20,Jalen Hurts scrambles up the middle for 20 yards (tackle by Bobby Wagner),0.060,1.930
4,0:13,,,,,,Timeout #1 by Philadelphia Eagles,,
4,0:13,1,10,PHI 45,17,20,"Jalen Hurts pass deep right intended for A.J. Brown is intercepted by Julian Love at SEA-17 and returned for no gain Replay Assistant challenged the pass interception ruling, and the play was upheld.",1.930,0.060
4,0:06,1,10,SEA 17,17,20,Drew Lock kneels for -2 yards,-0.060,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
