Quarter,Time,Tm,Detail,SEA,ATL
1.0,6:26,Seahawks,Jimmy Graham 7 yard pass from Russell Wilson (Stephen Hauschka kick),7,0
2.0,14:14,Falcons,Julio Jones 7 yard pass from Matt Ryan (Matt Bryant kick),7,7
,11:20,Seahawks,Stephen Hauschka 33 yard field goal,10,7
,9:22,Falcons,"Safety, Ben Garland russell Wilson sack in end zone",10,9
,6:06,Falcons,Matt Bryant 35 yard field goal,10,12
,0:53,Falcons,Tevin Coleman 14 yard pass from Matt Ryan (Matt Bryant kick),10,19
3.0,9:12,Falcons,Devonta Freeman 1 yard rush (Matt Bryant kick),10,26
,3:03,Seahawks,Stephen Hauschka 26 yard field goal,13,26
4.0,14:57,Falcons,Matt Bryant 31 yard field goal,13,29
,3:40,Falcons,Mohamed Sanu 3 yard pass from Matt Ryan (Matt Bryant kick),13,36
,3:21,Seahawks,Doug Baldwin 31 yard pass from Russell Wilson (Stephen Hauschka kick),20,36
