Quarter,Time,Down,ToGo,Location,SEA,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matthew Bosher kicks off 70 yards, returned by Devin Hester for 31 yards (tackle by Robert Alford). Penalty on Dewey McDonald: Offensive Holding, 10 yards",,
1,14:55,1,10,SEA 11,0,0,Russell Wilson right end for 2 yards (tackle by Brooks Reed),-0.370,-0.630
1,14:20,2,8,SEA 13,0,0,Thomas Rawls right tackle for 9 yards (tackle by Grady Jarrett),-0.630,0.410
1,13:44,1,10,SEA 22,0,0,Thomas Rawls left guard for 7 yards (tackle by Keanu Neal and Ricardo Allen),0.410,0.810
1,13:01,2,3,SEA 29,0,0,Russell Wilson pass complete short right to Marcel Reece for 10 yards (tackle by Keanu Neal),0.810,1.530
1,12:25,1,10,SEA 39,0,0,Russell Wilson left end for 14 yards (tackle by Brian Poole),1.530,2.460
1,11:41,1,10,ATL 47,0,0,Thomas Rawls right guard for no gain (tackle by Jonathan Babineaux),2.460,1.910
1,11:04,2,10,ATL 47,0,0,Thomas Rawls right guard for 3 yards (tackle by De'Vondre Campbell),1.910,1.620
1,10:24,3,7,ATL 44,0,0,Russell Wilson pass complete deep left to Doug Baldwin for 18 yards (tackle by Robert Alford),1.620,3.840
1,9:44,1,10,ATL 26,0,0,Doug Baldwin left end for 1 yard (tackle by De'Vondre Campbell),3.840,3.430
1,9:17,2,9,ATL 25,0,0,Thomas Rawls right guard for 8 yards (tackle by Keanu Neal and Deion Jones),3.430,3.950
1,8:39,3,1,ATL 17,0,0,Thomas Rawls right tackle for 2 yards (tackle by Keanu Neal),3.950,4.580
1,8:02,1,10,ATL 15,0,0,J.D. McKissic left tackle for 3 yards (tackle by Grady Jarrett),4.580,4.450
1,7:16,2,7,ATL 12,0,0,Russell Wilson pass complete short left to J.D. McKissic for 5 yards (tackle by Keanu Neal),4.450,4.680
1,6:30,3,2,ATL 7,6,0,"Russell Wilson pass complete short left to Jimmy Graham for 7 yards, touchdown",4.680,7.000
1,6:26,,,ATL 15,7,0,Steven Hauschka kicks extra point good,0.000,0.000
1,6:26,,,SEA 35,7,0,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
1,6:26,1,10,ATL 25,7,0,Devonta Freeman left tackle for 8 yards (tackle by Kam Chancellor),0.610,1.140
1,5:53,2,2,ATL 33,7,0,Devonta Freeman right tackle for 2 yards (tackle by Kam Chancellor),1.140,1.270
1,5:11,1,10,ATL 35,7,0,Matt Ryan pass incomplete short left intended for Patrick DiMarco,1.270,0.720
1,5:06,2,10,ATL 35,7,0,Matt Ryan pass complete short middle to Tevin Coleman for 3 yards (tackle by Mike Morgan and K.J. Wright),0.720,0.430
1,4:22,3,7,ATL 38,7,0,Matt Ryan pass complete short middle to Julio Jones for 8 yards (tackle by Richard Sherman and Kam Chancellor),0.430,1.990
1,3:40,1,10,ATL 46,7,0,Devonta Freeman right end for 2 yards (tackle by Ahtyba Rubin),1.990,1.720
1,2:57,2,8,ATL 48,7,0,Matt Ryan pass complete short right to Julio Jones for 12 yards (tackle by Richard Sherman and K.J. Wright),1.720,2.920
1,2:12,1,10,SEA 40,7,0,Justin Hardy right end for no gain (tackle by Michael Bennett),2.920,2.370
1,1:31,2,10,SEA 40,7,0,Matt Ryan pass complete short left to Austin Hooper for 10 yards (tackle by Richard Sherman),2.370,3.580
1,1:08,1,10,SEA 30,7,0,Tevin Coleman left tackle for 5 yards (tackle by Ahtyba Rubin and Bobby Wagner),3.580,3.710
1,0:25,2,5,SEA 25,7,0,"Matt Ryan pass complete short left to Tevin Coleman for 2 yards (tackle by K.J. Wright). Penalty on Richard Sherman: Defensive Holding, 5 yards (no play)",3.710,4.240
1,0:11,1,10,SEA 20,7,0,Matt Ryan pass complete short left to Devonta Freeman for 7 yards (tackle by Bobby Wagner and K.J. Wright),4.240,4.830
Quarter,Time,Down,ToGo,Location,SEA,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,SEA 13,7,0,Tevin Coleman right end for 6 yards (tackle by Richard Sherman and Bobby Wagner),4.830,5.600
2,14:18,1,7,SEA 7,7,6,"Matt Ryan pass complete short left to Julio Jones for 7 yards, touchdown",5.600,7.000
2,14:14,,,SEA 15,7,7,Matt Bryant kicks extra point good,0.000,0.000
2,14:14,,,ATL 35,7,7,"Matthew Bosher kicks off 70 yards, returned by Devin Hester for 50 yards (tackle by Keanu Neal)",0.000,-1.930
2,14:08,1,10,SEA 45,7,7,Russell Wilson left end for 3 yards (tackle by Keanu Neal),1.930,1.790
