Unnamed: 0,SEA,ATL
First Downs,17,28
Rush-Yds-TDs,21-101-0,29-99-1
Cmp-Att-Yd-TD-INT,17-30-225-2-2,26-37-338-3-0
Sacked-Yards,3-17,3-15
Net Pass Yards,208,323
Total Yards,309,422
Fumbles-Lost,0-0,2-0
Turnovers,2,0
Penalties-Yards,7-40,2-10
Third Down Conv.,5-11,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,26:41,33:19
