Quarter,Time,Tm,Detail,CLE,IND
1.0,4:11,Colts,Edgerrin James 2 yard rush (Mike Vanderjagt kick),0,7
2.0,13:13,Browns,Phil Dawson 40 yard field goal,3,7
,3:14,Colts,Mike Vanderjagt 20 yard field goal,3,10
3.0,7:07,Colts,Mike Vanderjagt 23 yard field goal,3,13
4.0,14:09,Browns,Phil Dawson 22 yard field goal,6,13
