Unnamed: 0,GNB,MIN
First Downs,31,25
Rush-Yds-TDs,32-158-1,22-134-2
Cmp-Att-Yd-TD-INT,32-44-364-4-0,19-25-259-2-1
Sacked-Yards,0-0,2-11
Net Pass Yards,364,248
Total Yards,522,382
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,6-63,5-20
Third Down Conv.,6-11,3-6
Fourth Down Conv.,1-2,0-1
Time of Possession,41:16,18:44
