Quarter,Time,Tm,Detail,GNB,MIN
1.0,7:27,Packers,Mason Crosby 31 yard field goal,3,0
,3:24,Vikings,Dalvin Cook 1 yard rush (Dan Bailey kick),3,7
2.0,11:39,Packers,"Safety, Kirk Cousins sacked in end zone by Jaire Alexander",5,7
,8:08,Packers,Mason Crosby 43 yard field goal,8,7
,0:39,Packers,Davante Adams 24 yard pass from Aaron Rodgers (Mason Crosby kick),15,7
,0:14,Packers,Marquez Valdes-Scantling 45 yard pass from Aaron Rodgers (Mason Crosby kick),22,7
,0:00,Vikings,Dan Bailey 35 yard field goal,22,10
3.0,0:09,Packers,Davante Adams 1 yard pass from Aaron Rodgers (Mason Crosby kick),29,10
4.0,13:53,Vikings,Adam Thielen 37 yard pass from Kirk Cousins (Dalvin Cook run),29,18
,10:02,Packers,Allen Lazard 4 yard pass from Aaron Rodgers (Mason Crosby kick),36,18
,7:55,Vikings,Dalvin Cook 3 yard rush (Dalvin Cook run),36,26
,3:19,Packers,Aaron Jones 5 yard rush (Mason Crosby kick),43,26
,1:21,Vikings,Adam Thielen 19 yard pass from Kirk Cousins (Adam Thielen pass from Kirk Cousins),43,34
