Unnamed: 0,DET,MIN
First Downs,13,22
Rush-Yds-TDs,27-146-0,34-107-1
Cmp-Att-Yd-TD-INT,12-19-91-1-1,22-32-233-2-1
Sacked-Yards,3-24,3-21
Net Pass Yards,67,212
Total Yards,213,319
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,9-116,7-51
Third Down Conv.,4-11,8-15
Fourth Down Conv.,0-0,0-1
Time of Possession,27:36,32:24
