Quarter,Time,Tm,Detail,DET,MIN
1.0,14:48,Lions,Eddie Drummond 92 yard kickoff return (Jason Hanson kick),7,0
,13:18,Vikings,Jermaine Wiggins 8 yard pass from Daunte Culpepper (Morten Andersen kick),7,7
,5:53,Lions,Stephen Alexander 1 yard pass from Joey Harrington (Jason Hanson kick),14,7
2.0,3:33,Lions,Jason Hanson 48 yard field goal,17,7
3.0,9:29,Lions,"Safety,",19,7
4.0,14:17,Vikings,Nate Burleson 6 yard pass from Daunte Culpepper (Nate Burleson pass from Daunte Culpepper),19,15
,5:27,Vikings,Moe Williams 1 yard rush (Morten Andersen kick),19,22
