Unnamed: 0,HOU,NOR
First Downs,21,27
Rush-Yds-TDs,25-109-0,22-100-2
Cmp-Att-Yd-TD-INT,22-39-373-3-1,31-44-370-3-2
Sacked-Yards,2-9,2-16
Net Pass Yards,364,354
Total Yards,473,454
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,7-56,4-26
Third Down Conv.,6-14,8-13
Fourth Down Conv.,0-1,0-0
Time of Possession,30:06,29:54
