Quarter,Time,Tm,Detail,HOU,NOR
1.0,10:13,Texans,Owen Daniels 14 yard pass from Matt Schaub (Neil Rackers kick),7,0
,3:17,Texans,Neil Rackers 22 yard field goal,10,0
2.0,8:23,Saints,Darren Sproles 30 yard rush (John Kasay kick),10,7
,6:20,Texans,Neil Rackers 27 yard field goal,13,7
,3:53,Texans,Neil Rackers 27 yard field goal,16,7
,0:35,Saints,John Kasay 35 yard field goal,16,10
3.0,10:34,Saints,Robert Meachem 2 yard pass from Drew Brees (John Kasay kick),16,17
,5:08,Texans,Neil Rackers 36 yard field goal,19,17
4.0,14:54,Texans,James Casey 26 yard pass from Matt Schaub (Neil Rackers kick),26,17
,9:30,Saints,Jimmy Graham 27 yard pass from Drew Brees (John Kasay kick),26,24
,7:10,Saints,Lance Moore 16 yard pass from Drew Brees (Lance Moore pass from Drew Brees),26,32
,4:13,Texans,Kevin Walter 20 yard pass from Matt Schaub (Neil Rackers kick),33,32
,2:42,Saints,Mark Ingram 13 yard rush (Lance Moore pass from Drew Brees),33,40
