Quarter,Time,Tm,Detail,WAS,SFO
1.0,9:14,Redskins,Robert Royal 12 yard pass from Patrick Ramsey (Jeff Chandler kick),7,0
,4:50,49ers,Brandon Lloyd 17 yard pass from Ken Dorsey (Todd Peterson kick),7,7
2.0,14:45,Redskins,Jeff Chandler 49 yard field goal,10,7
,8:28,Redskins,Jeff Chandler 25 yard field goal,13,7
,5:17,Redskins,Jeff Chandler 20 yard field goal,16,7
,2:08,49ers,"Safety,",16,9
,0:48,Redskins,Antonio Pierce 78 yard interception return (Jeff Chandler kick),23,9
3.0,3:32,Redskins,Jeff Chandler 26 yard field goal,26,9
4.0,4:26,49ers,Curtis Conway 11 yard pass from Ken Dorsey (Todd Peterson kick),26,16
