Quarter,Time,Down,ToGo,Location,NYG,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,MIA 20,0,0,Ryan Tannehill pass complete short right to Jordan Cameron for 11 yards (tackle by Craig Dahl),0.280,1.000
1,14:29,1,10,MIA 31,0,0,Lamar Miller right tackle for 6 yards (tackle by J.T. Thomas),1.000,1.270
1,13:54,2,4,MIA 37,0,0,"Ryan Tannehill pass complete short right to Dion Sims for -1 yards (tackle by Landon Collins). Dion Sims fumbles (forced by Landon Collins), recovered by Jason Pierre-Paul at MIA-36 (tackle by Billy Turner)",1.270,-3.180
1,13:45,1,10,MIA 36,0,0,Eli Manning pass complete short left to Rueben Randle for 7 yards (tackle by Bobby McCain),3.180,3.580
1,13:31,2,3,MIA 29,0,0,Eli Manning pass complete to Will Tye for 5 yards (tackle by Jelani Jenkins),3.580,3.970
1,13:05,1,10,MIA 24,0,0,Rashad Jennings right guard for 3 yards (tackle by Reshad Jones),3.970,3.840
1,12:31,2,7,MIA 21,0,0,Rashad Jennings middle for -6 yards (tackle by Ndamukong Suh),3.840,2.350
1,11:49,3,13,MIA 27,0,0,Eli Manning pass complete short middle to Dwayne Harris for 10 yards (tackle by Brice McCain),2.350,2.410
1,11:13,4,3,MIA 17,3,0,Josh Brown 35 yard field goal good,2.410,3.000
1,11:13,,,NYG 35,3,0,"Josh Brown kicks off 69 yards, returned by Jarvis Landry for 30 yards (tackle by Landon Collins)",0.000,-0.670
1,11:03,1,10,MIA 26,3,0,Ryan Tannehill pass complete short right to Jarvis Landry for 16 yards (tackle by Landon Collins),0.670,1.730
1,10:42,1,10,MIA 42,3,0,Ryan Tannehill pass complete short right to Jarvis Landry for 2 yards (tackle by Dominique Rodgers-Cromartie),1.730,1.460
1,10:07,2,8,MIA 44,3,0,Lamar Miller left tackle for 2 yards (tackle by Markus Kuhn),1.460,1.030
1,9:28,3,6,MIA 46,3,0,Ryan Tannehill pass complete short middle to Jordan Cameron for 17 yards (tackle by Craig Dahl and Uani Unga),1.030,3.120
1,8:51,1,10,NYG 37,3,0,Ryan Tannehill pass incomplete short middle intended for Jarvis Landry (defended by Kerry Wynn),3.120,2.570
1,8:43,2,10,NYG 37,3,0,Lamar Miller left guard for 5 yards (tackle by Landon Collins and Jonathan Casillas),2.570,2.540
1,8:03,3,5,NYG 32,3,0,Ryan Tannehill pass complete short right to Jarvis Landry for 4 yards (tackle by Trevin Wade),2.540,1.720
1,7:09,4,1,NYG 28,3,0,Lamar Miller middle for 2 yards (tackle by Jay Bromley),1.720,3.840
1,6:33,1,10,NYG 26,3,0,Ryan Tannehill pass incomplete deep right intended for Dion Sims,3.840,3.300
1,6:26,2,10,NYG 26,3,0,"Penalty on Cullen Jenkins: Encroachment, 5 yards (no play)",3.300,3.970
1,6:26,2,5,NYG 21,3,0,Ryan Tannehill right tackle for 7 yards (tackle by J.T. Thomas),3.970,4.650
1,5:48,1,10,NYG 14,3,6,"Lamar Miller left tackle for 14 yards, touchdown",4.650,7.000
1,5:48,,,NYG 14,3,7,Andrew Franks kicks extra point good,0.000,0.000
1,5:48,,,MIA 35,3,7,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.280
1,5:40,1,10,NYG 20,3,7,Eli Manning pass complete short right to Odell Beckham for 12 yards (tackle by Brent Grimes),0.280,1.070
1,5:10,1,10,NYG 32,3,7,Andre Williams left tackle for -1 yards (tackle by Michael Thomas),1.070,0.390
1,4:29,2,11,NYG 31,3,7,Eli Manning pass complete short right to Dwayne Harris for 10 yards (tackle by Brice McCain),0.390,1.030
1,3:50,3,1,NYG 41,3,7,Shane Vereen middle for no gain (tackle by Brice McCain),1.030,-0.650
1,3:11,4,1,NYG 41,3,7,"Brad Wing punts 34 yards, fair catch by Jarvis Landry",-0.650,-0.610
1,3:01,1,10,MIA 25,3,7,Ryan Tannehill left end for 12 yards (tackle by Prince Amukamara),0.610,1.400
1,2:37,1,10,MIA 37,3,7,Ryan Tannehill pass incomplete deep middle intended for Dion Sims (defended by Craig Dahl),1.400,0.860
1,2:28,2,10,MIA 37,3,7,Ryan Tannehill pass complete short middle to Jarvis Landry for 5 yards (tackle by Markus Kuhn),0.860,0.830
1,1:47,3,5,MIA 42,3,7,Ryan Tannehill pass incomplete deep left intended for Damien Williams,0.830,-0.590
1,1:39,4,5,MIA 42,3,7,"Matt Darr punts 48 yards, returned by Dwayne Harris for 20 yards (tackle by Walt Aikens)",-0.590,-0.940
1,1:27,1,10,NYG 30,3,7,Rashad Jennings middle for 9 yards (tackle by Koa Misi),0.940,1.610
1,1:04,2,1,NYG 39,3,7,Rashad Jennings middle for 21 yards (tackle by Michael Thomas),1.610,2.920
1,0:31,1,10,MIA 40,3,7,Eli Manning pass complete short middle to Rueben Randle for 22 yards (tackle by Michael Thomas),2.920,4.370
1,0:01,1,10,MIA 18,3,7,Rashad Jennings right tackle for no gain (tackle by Ndamukong Suh),4.370,3.800
Quarter,Time,Down,ToGo,Location,NYG,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,MIA 18,3,7,Eli Manning pass complete short right to Will Tye for 6 yards (tackle by Jelani Jenkins),3.800,4.030
2,14:25,3,4,MIA 12,3,7,Eli Manning pass complete short middle to Odell Beckham for 6 yards (tackle by Jelani Jenkins),4.030,5.830
2,13:52,1,6,MIA 6,3,7,Rashad Jennings right guard for no gain (tackle by Jelani Jenkins),5.830,4.950
2,13:10,2,6,MIA 6,3,7,Eli Manning pass incomplete short middle intended for Odell Beckham (defended by Ndamukong Suh),4.950,4.040
2,13:05,3,6,MIA 6,9,7,"Eli Manning pass complete short middle to Rueben Randle for 6 yards, touchdown",4.040,7.000
2,13:05,,,MIA 6,10,7,Josh Brown kicks extra point good,0.000,0.000
