Unnamed: 0,SFO,CIN
First Downs,21,22
Rush-Yds-TDs,23-100-1,26-86-0
Cmp-Att-Yd-TD-INT,27-41-296-2-0,25-34-348-2-0
Sacked-Yards,5-41,5-37
Net Pass Yards,255,311
Total Yards,355,397
Fumbles-Lost,2-0,4-2
Turnovers,0,2
Penalties-Yards,6-40,2-19
Third Down Conv.,5-15,4-13
Fourth Down Conv.,0-0,1-1
Time of Possession,33:50,34:17
