Quarter,Time,Tm,Detail,SFO,CIN
1,6:37,49ers,Robbie Gould 33 yard field goal,3,0
,0:31,Bengals,Evan McPherson 37 yard field goal,3,3
2,12:05,49ers,Deebo Samuel 27 yard rush (Robbie Gould kick),10,3
,1:42,Bengals,Evan McPherson 28 yard field goal,10,6
,0:18,49ers,George Kittle 14 yard pass from Jimmy Garoppolo (Robbie Gould kick),17,6
3,7:43,49ers,Robbie Gould 24 yard field goal,20,6
4,9:20,Bengals,Ja'Marr Chase 17 yard pass from Joe Burrow (Evan McPherson kick),20,13
,1:19,Bengals,Ja'Marr Chase 32 yard pass from Joe Burrow (Evan McPherson kick),20,20
OT,6:15,Bengals,Evan McPherson 41 yard field goal,20,23
,1:53,49ers,Brandon Aiyuk 12 yard pass from Jimmy Garoppolo,26,23
