Quarter,Time,Down,ToGo,Location,OAK,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 65 yards, returned by Chris Carr for 21 yards (tackle by Jason Short). Penalty on Matt Ware: Offside on Free Kick, 5 yards (no play)",0.000,0.000
1,,,,PHI 25,0,0,"David Akers kicks off 57 yards, returned by Chris Carr for 14 yards (tackle by Darnerien McCants). Penalty on Juqua Thomas: Offside on Free Kick, 5 yards (no play)",0.000,0.000
1,,,,PHI 20,0,0,"Mike Bartrum kicks off 41 yards. Penalty on Mike Bartrum: Kickoff Out of Bounds, 11 yards",0.000,2.260
1,14:47,1,10,PHI 50,0,0,"LaMont Jordan for 1 yard (tackle by N.D. Kalu). Penalty on Jeremiah Trotter: Defensive Offside, 5 yards (no play)",2.260,2.990
1,14:30,1,5,PHI 45,0,0,LaMont Jordan right tackle for 1 yard (tackle by Jeremiah Trotter),2.990,2.520
1,13:55,2,4,PHI 44,0,0,Kerry Collins pass complete to Courtney Anderson for 36 yards (tackle by Dhani Jones),2.520,5.370
1,13:09,1,8,PHI 8,0,0,LaMont Jordan left guard for no gain (tackle by N.D. Kalu),5.370,4.570
1,12:32,2,8,PHI 8,6,0,"Kerry Collins pass complete to LaMont Jordan for 8 yards, touchdown",4.570,7.000
1,,,,PHI 2,7,0,Sebastian Janikowski kicks extra point good,0.000,0.000
1,,,,OAK 30,7,0,"Sebastian Janikowski kicks off 70 yards, returned by Dexter Wynn for 19 yards (tackle by Ryan Riddle)",0.000,0.150
1,12:17,1,10,PHI 19,7,0,Donovan McNabb pass complete to Brian Westbrook for 6 yards (tackle by Kirk Morrison),0.150,0.480
1,11:40,2,4,PHI 25,7,0,Donovan McNabb pass incomplete intended for Greg Lewis (defended by Renaldo Hill),0.480,-0.290
1,11:34,3,4,PHI 25,7,0,Donovan McNabb pass incomplete intended for Terrell Owens,-0.290,-1.700
1,11:26,4,4,PHI 25,7,0,"Dirk Johnson punts 40 yards, returned by Chris Carr for 10 yards (tackle by Quintin Mikell)",-1.700,-1.930
1,11:18,1,10,OAK 45,7,0,Kerry Collins pass complete to LaMont Jordan for 12 yards (tackle by Michael Lewis),1.930,2.720
1,10:41,1,10,PHI 43,7,0,Jerry Porter left end for -8 yards (tackle by Hollis Thomas),2.720,1.100
1,9:57,2,18,OAK 49,7,0,Kerry Collins pass complete to Randy Moss for 22 yards (tackle by Brian Dawkins and Lito Sheppard),1.100,3.640
1,9:25,1,10,PHI 29,7,0,LaMont Jordan up the middle for -2 yards (tackle by Mike Patterson),3.640,2.830
1,8:49,2,12,PHI 31,7,0,Kerry Collins pass incomplete intended for Courtney Anderson (defended by Jevon Kearse),2.830,2.150
1,8:44,3,12,PHI 31,7,0,Kerry Collins pass incomplete intended for LaMont Jordan (defended by Jeremiah Trotter),2.150,1.320
1,8:36,4,12,PHI 31,7,0,Sebastian Janikowski 49 yard field goal no good,1.320,-1.530
1,8:35,1,10,PHI 39,7,0,Donovan McNabb pass incomplete (defended by Bobby Hamilton),1.530,0.990
1,8:28,2,10,PHI 39,7,0,Donovan McNabb pass incomplete intended for Brian Westbrook,0.990,0.300
1,8:23,3,10,PHI 39,7,0,Greg Lewis left end for 8 yards (tackle by Nnamdi Asomugha),0.300,-0.260
1,7:47,4,2,PHI 47,7,0,"Dirk Johnson punts 36 yards, returned by Chris Carr for 2 yards (tackle by Dhani Jones)",-0.260,-0.150
1,7:37,1,10,OAK 19,7,0,"Penalty on Robert Gallery: False Start, 5 yards (no play)",0.150,-0.390
1,7:37,1,15,OAK 14,7,0,Kerry Collins pass incomplete intended for Jerry Porter (defended by Lito Sheppard),-0.390,-1.110
1,7:32,2,15,OAK 14,7,0,LaMont Jordan left end for 14 yards (tackle by Brian Dawkins),-1.110,0.100
1,6:54,3,1,OAK 28,7,0,Zack Crockett up the middle for 2 yards (tackle by N.D. Kalu),0.100,0.940
1,6:20,1,10,OAK 30,7,0,LaMont Jordan up the middle for no gain (tackle by Dhani Jones),0.940,0.390
1,5:45,2,10,OAK 30,7,0,Kerry Collins pass incomplete intended for Jerry Porter (defended by Sheldon Brown),0.390,-0.300
1,5:41,,,,7,0,Timeout #1 by Oakland Raiders,0.000,-0.300
1,5:41,3,10,OAK 30,7,0,"Kerry Collins sacked by Mike Patterson for -1 yards. Kerry Collins fumbles (forced by Mike Patterson), recovered by Randy Moss at OAK-34",-0.300,-1.110
