Quarter,Time,Tm,Detail,OAK,PHI
1.0,12:22,Raiders,LaMont Jordan 8 yard pass from Kerry Collins (Sebastian Janikowski kick),7,0
2.0,4:33,Eagles,Brian Westbrook 18 yard rush (Mark Simoneau kick failed),7,6
,0:49,Raiders,Sebastian Janikowski 28 yard field goal,10,6
3.0,10:20,Eagles,Terrell Owens 4 yard pass from Donovan McNabb (David Akers kick),10,13
,0:45,Eagles,Brian Westbrook 5 yard pass from Donovan McNabb (David Akers kick),10,20
4.0,12:54,Raiders,Sebastian Janikowski 26 yard field goal,13,20
,2:17,Raiders,Doug Gabriel 27 yard pass from Kerry Collins (Sebastian Janikowski kick),20,20
,0:09,Eagles,David Akers 23 yard field goal,20,23
