Unnamed: 0,OAK,PHI
First Downs,18,26
Rush-Yds-TDs,22-21-0,18-83-1
Cmp-Att-Yd-TD-INT,24-42-345-2-0,30-52-365-2-1
Sacked-Yards,1-1,1-0
Net Pass Yards,344,365
Total Yards,365,448
Fumbles-Lost,2-0,1-1
Turnovers,0,2
Penalties-Yards,13-94,9-70
Third Down Conv.,4-14,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,29:57,30:03
