Quarter,Time,Down,ToGo,Location,NYJ,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 67 yards, returned by Jerricho Cotchery for 15 yards (tackle by DeJuan Groce)",0.000,0.040
1,14:55,1,10,NYJ 18,0,0,Curtis Martin left tackle for 3 yards (tackle by Anthony Hargrove),0.040,0.010
1,14:21,2,7,NYJ 21,0,0,Chad Pennington pass incomplete intended for Santana Moss (defended by Jerametrius Butler),0.010,-0.790
1,14:09,3,7,NYJ 21,0,0,Chad Pennington pass complete to Wayne Chrebet for 13 yards (tackle by DeJuan Groce),-0.790,1.200
1,13:41,1,10,NYJ 34,0,0,Curtis Martin left guard for 16 yards (tackle by Leonard Little),1.200,2.260
1,13:04,1,10,,0,0,Curtis Martin right tackle for -2 yards (tackle by Robert Thomas),2.260,1.440
1,12:20,2,12,NYJ 48,0,0,Curtis Martin middle for -2 yards (tackle by Bryce Fisher),1.440,0.500
1,11:42,3,14,NYJ 46,0,0,Chad Pennington sacked by Bryce Fisher for -11 yards,0.500,-1.040
1,11:05,4,25,NYJ 35,0,0,"Toby Gowin punts 45 yards, returned by Shaun McDonald for 5 yards (tackle by Jerricho Cotchery). Penalty on Antuan Edwards: Illegal Block Above the Waist, 10 yards",-1.040,0.220
1,10:53,1,10,STL 15,0,0,Marshall Faulk left tackle for 4 yards (tackle by Jonathan Vilma),-0.220,-0.110
1,10:12,2,6,STL 19,0,0,"Marshall Faulk left tackle for 5 yards (tackle by Mark Brown). Penalty on Blaine Saipaia: Personal Foul, 12 yards",-0.110,-1.770
1,9:50,3,13,STL 12,0,0,Marc Bulger pass complete to Marshall Faulk for 11 yards (tackle by Jonathan Vilma),-1.770,-1.830
1,9:09,4,2,STL 23,0,0,"Kevin Stemke punts 46 yards, returned by Justin McCareins for 3 yards (tackle by Kevin Garrett)",-1.830,-1.200
1,8:59,1,10,NYJ 34,0,0,Chad Pennington pass complete to Santana Moss for 9 yards (tackle by Jerametrius Butler),1.200,1.870
1,8:35,2,1,NYJ 43,0,0,Curtis Martin right end for 4 yards (tackle by Jerametrius Butler),1.870,2.060
1,7:54,1,10,NYJ 47,0,0,"Santana Moss left end for -13 yards. Santana Moss fumbles, recovered by Santana Moss at NYJ-37",2.060,-0.240
1,7:13,2,23,NYJ 34,0,0,"Curtis Martin middle for 12 yards (tackle by Antuan Edwards). Penalty on Trev Faulk: Face Mask (5 Yards), 5 yards",-0.240,2.060
1,6:40,2,6,STL 49,0,0,Chad Pennington pass complete to Wayne Chrebet for 5 yards (tackle by DeJuan Groce),2.060,2.020
1,6:03,3,1,STL 44,0,0,LaMont Jordan right tackle for 2 yards (tackle by Jerametrius Butler),2.020,2.790
1,5:30,1,10,STL 42,0,0,"Curtis Martin left guard for 1 yard (tackle by Robert Thomas). Penalty on Kevin Mawae: Offensive Holding, 10 yards",2.790,2.190
1,5:01,1,19,NYJ 49,0,0,Chad Pennington pass complete to LaMont Jordan for 1 yard (tackle by Bryce Fisher),2.190,1.160
1,4:14,2,18,,0,0,Curtis Martin right tackle for 6 yards (tackle by Bryce Fisher),1.160,1.290
1,3:32,3,12,STL 44,0,0,Chad Pennington pass complete to Curtis Martin for 11 yards (tackle by Adam Archuleta),1.290,1.210
1,2:59,4,1,STL 33,0,0,Chad Pennington middle for 2 yards (tackle by Tommy Polley and Robert Thomas),1.210,3.510
1,2:12,1,10,STL 31,0,0,Chad Pennington pass incomplete intended for Wayne Chrebet,3.510,2.970
1,2:06,2,10,STL 31,0,0,Curtis Martin left end for 2 yards (tackle by Robert Thomas),2.970,2.540
1,1:24,3,8,STL 29,0,0,Chad Pennington pass incomplete intended for Chris Baker,2.540,1.500
1,1:17,4,8,STL 29,3,0,Doug Brien 47 yard field goal good,1.500,3.000
1,1:17,,,NYJ 30,3,0,"Toby Gowin kicks off 63 yards, returned by Aveion Cason for 20 yards (tackle by Kenyatta Wright)",0.000,0.740
1,1:06,1,10,STL 27,3,0,"Penalty on Adam Timmerman: False Start, 5 yards (no play)",0.740,0.410
1,1:06,1,15,STL 22,3,0,Marc Bulger pass complete to Isaac Bruce for 26 yards (tackle by Donnie Abraham),0.410,2.130
1,0:47,1,10,STL 48,3,0,Marc Bulger pass incomplete intended for Kevin Curtis (defended by Donnie Abraham),2.130,1.580
1,0:37,2,10,STL 48,3,0,Steven Jackson left end for -3 yards (tackle by Bryan Thomas),1.580,0.500
Quarter,Time,Down,ToGo,Location,NYJ,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,13,STL 45,3,0,Marc Bulger pass complete to Kevin Curtis for 9 yards (tackle by Jon McGraw and Eric Barton),0.500,0.200
2,14:25,4,4,NYJ 46,3,0,"Kevin Stemke punts 28 yards, out of bounds",0.200,-0.040
2,14:15,1,10,NYJ 18,3,0,Curtis Martin right end for 17 yards (tackle by Antuan Edwards),0.040,1.270
2,13:51,1,10,NYJ 35,3,0,Curtis Martin right tackle for 2 yards (tackle by Pisa Tinoisamoa),1.270,0.990
2,13:09,2,8,NYJ 37,3,0,Chad Pennington pass complete to Justin McCareins for 7 yards (tackle by Travis Fisher),0.990,1.220
2,12:21,3,1,NYJ 44,3,0,Chad Pennington pass complete to Santana Moss for 12 yards (tackle by Jerametrius Butler),1.220,2.650
2,11:37,1,10,STL 44,3,0,Chad Pennington pass complete to Anthony Becht for 14 yards (tackle by Tommy Polley),2.650,3.580
2,11:13,1,10,STL 30,3,0,Chad Pennington sacked by Tyoka Jackson for -7 yards,3.580,2.090
2,10:40,1,10,STL 30,3,0,Timeout #1 by New York Jets,3.580,2.090
2,10:40,2,17,STL 37,3,0,Chad Pennington pass complete to Jerald Sowell for 4 yards (tackle by DeJuan Groce),2.090,1.950
2,10:03,3,13,STL 33,3,0,Chad Pennington sacked by Leonard Little for -2 yards,1.950,0.970
2,9:27,4,15,STL 35,3,0,"Penalty on Doug Brien: Delay of Game, 5 yards (no play)",0.970,0.590
2,9:18,4,20,STL 40,3,0,"Toby Gowin punts 40 yards, touchback",0.590,-0.280
2,9:10,1,10,STL 20,3,0,Marc Bulger pass complete to Kevin Curtis for 34 yards (tackle by Erik Coleman). Penalty on Dewayne Robertson: Defensive Offside (Declined),0.280,2.520
2,8:50,1,10,NYJ 46,3,0,Marc Bulger pass complete to Steven Jackson for 19 yards (tackle by Jon McGraw),2.520,3.780
2,8:02,1,10,NYJ 27,3,6,"Marc Bulger pass complete to Isaac Bruce for 27 yards, touchdown. Penalty on Donnie Abraham: Illegal Contact (Declined)",3.780,7.000
2,8:02,,,NYJ 2,3,7,Jeff Wilkins kicks extra point good,0.000,0.000
2,8:02,,,STL 30,3,7,"Jeff Wilkins kicks off 58 yards, returned by Jerricho Cotchery for 31 yards (tackle by Jeff Wilkins)",0.000,1.800
2,7:48,1,10,NYJ 43,3,7,Curtis Martin left end for 5 yards (tackle by Travis Fisher and Robert Thomas),1.800,1.930
2,7:09,2,5,NYJ 48,3,7,Chad Pennington pass complete to Justin McCareins for 17 yards (tackle by Travis Fisher),1.930,3.250
2,6:28,1,10,STL 35,3,7,Chad Pennington pass complete to Justin McCareins for 12 yards (tackle by Travis Fisher),3.250,4.040
2,5:42,1,10,STL 23,3,7,Curtis Martin middle for 5 yards (tackle by Pisa Tinoisamoa),4.040,4.210
2,5:03,2,5,STL 18,3,7,Chad Pennington pass complete to Jerricho Cotchery for 10 yards (tackle by DeJuan Groce),4.210,5.370
2,4:21,1,8,STL 8,9,7,"Chad Pennington pass complete to Chris Baker for 8 yards, touchdown",5.370,7.000
2,4:21,,,STL 2,10,7,Doug Brien kicks extra point good,0.000,0.000
2,4:21,,,NYJ 30,10,7,"Toby Gowin kicks off 67 yards, returned by Aveion Cason for 30 yards (tackle by Erik Coleman)",0.000,1.140
2,4:07,1,10,STL 33,10,7,Steven Jackson left end for 6 yards (tackle by Reggie Tongue),1.140,1.400
2,3:27,2,4,STL 39,10,7,Steven Jackson middle for 2 yards (tackle by Bryan Thomas and Eric Barton),1.400,0.960
2,2:50,3,2,STL 41,10,7,Marc Bulger pass complete to Isaac Bruce for 19 yards (tackle by Erik Coleman),0.960,2.920
2,2:08,1,10,NYJ 40,10,7,Marc Bulger pass complete to Shaun McDonald for 33 yards (tackle by Erik Coleman),2.920,5.600
2,1:56,1,7,NYJ 7,10,7,Shaun McDonald left end for -3 yards (tackle by Donnie Abraham),5.600,4.190
2,1:50,2,10,NYJ 10,10,7,Marc Bulger pass incomplete intended for Torry Holt,4.190,3.130
2,1:44,3,10,NYJ 10,10,7,Marc Bulger pass incomplete intended for Shaun McDonald is intercepted by Erik Coleman at NYJ-0 and returned for 1 yard,3.130,0.380
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,1:39,1,10,NYJ 1,10,7,LaMont Jordan right tackle for 5 yards (tackle by Ryan Pickett),-0.380,-0.420
2,1:32,1,10,NYJ 1,10,7,Timeout #1 by St. Louis Rams,-0.380,-0.420
2,1:32,2,5,NYJ 6,10,7,LaMont Jordan left end for no gain (tackle by Travis Fisher),-0.420,-0.840
2,1:26,2,5,NYJ 6,10,7,Timeout #2 by St. Louis Rams,-0.420,-0.840
2,1:26,3,5,NYJ 6,10,7,LaMont Jordan right tackle for 4 yards (tackle by Leonard Little and Tommy Polley),-0.840,-2.490
2,1:15,3,5,NYJ 6,10,7,Timeout #3 by St. Louis Rams,-0.840,-2.490
2,1:15,4,1,NYJ 10,10,7,"Toby Gowin punts 34 yards, fair catch by Shaun McDonald",-2.490,-2.650
2,1:07,1,10,NYJ 44,10,13,"Marc Bulger pass complete to Torry Holt for 44 yards, touchdown",2.650,7.000
2,1:07,,,NYJ 2,10,14,Jeff Wilkins kicks extra point good,0.000,0.000
2,1:07,,,STL 30,10,14,"Jeff Wilkins kicks off 68 yards, returned by Jerricho Cotchery for 21 yards (tackle by Dane Looker)",0.000,0.480
2,0:55,1,10,NYJ 23,10,14,"Penalty on Jason Fabini: False Start, 5 yards (no play)",0.480,0.000
2,0:55,1,15,NYJ 18,10,14,Chad Pennington pass incomplete intended for Jerricho Cotchery (defended by DeJuan Groce),0.000,-0.840
2,0:50,2,15,NYJ 18,10,14,Curtis Martin left tackle for 6 yards (tackle by Tyoka Jackson),-0.840,-0.630
2,0:27,3,9,NYJ 24,10,14,"Penalty on Kareem McKenzie: False Start, 5 yards (no play)",-0.630,-1.360
2,0:27,3,14,NYJ 19,10,14,Chad Pennington kneels for -1 yards (tackle by Damione Lewis),-1.360,-2.240
Quarter,Time,Down,ToGo,Location,NYJ,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,10,14,"Toby Gowin kicks off 68 yards, returned by Aveion Cason for 29 yards (tackle by Erik Coleman)",0.000,1.000
3,14:54,1,10,STL 31,10,14,Isaac Bruce pass incomplete intended for Torry Holt (defended by Reggie Tongue),1.000,0.460
3,14:48,2,10,STL 31,10,14,Marc Bulger pass complete to Steven Jackson for -1 yards (tackle by Donnie Abraham),0.460,-0.360
3,14:04,3,11,STL 30,10,14,Marc Bulger pass complete to Torry Holt for 15 yards (tackle by David Barrett),-0.360,1.930
,,,,,,,"NYJ challenged the ruling, and the play was upheld.",,
3,13:43,1,10,STL 45,10,14,"Marc Bulger pass incomplete intended for Torry Holt. Penalty on David Barrett: Defensive Pass Interference, 35 yards (no play)",1.930,4.240
3,13:37,1,10,NYJ 20,10,20,"Steven Jackson right end for 20 yards, touchdown",4.240,7.000
3,13:37,,,NYJ 2,10,21,Jeff Wilkins kicks extra point good,0.000,0.000
3,13:37,,,STL 30,16,21,"Jeff Wilkins kicks off 64 yards, returned by Jerricho Cotchery for 94 yards, touchdown",0.000,7.000
3,13:30,,,STL 2,17,21,Doug Brien kicks extra point good,0.000,0.000
3,13:30,,,NYJ 30,17,21,"Toby Gowin kicks off 64 yards, returned by Aveion Cason for 25 yards (tackle by Trevor Johnson)",0.000,1.000
3,13:13,1,10,STL 31,17,21,Marc Bulger sacked by Shaun Ellis for -3 yards,1.000,0.060
