Unnamed: 0,NYJ,STL
First Downs,22,21
Rush-Yds-TDs,39-180-0,19-47-1
Cmp-Att-Yd-TD-INT,21-36-181-1-0,29-40-450-3-2
Sacked-Yards,6-37,3-18
Net Pass Yards,144,432
Total Yards,324,479
Fumbles-Lost,1-0,2-1
Turnovers,0,3
Penalties-Yards,7-75,10-76
Third Down Conv.,5-18,5-13
Fourth Down Conv.,1-1,0-0
Time of Possession,41:08,30:50
