Quarter,Time,Tm,Detail,NYJ,STL
1,1:13,Jets,Doug Brien 47 yard field goal,3,0
2,7:54,Rams,Isaac Bruce 27 yard pass from Marc Bulger (Jeff Wilkins kick),3,7
,4:14,Jets,Chris Baker 8 yard pass from Chad Pennington (Doug Brien kick),10,7
,1:00,Rams,Torry Holt 44 yard pass from Marc Bulger (Jeff Wilkins kick),10,14
3,13:30,Rams,Steven Jackson 20 yard rush (Jeff Wilkins kick),10,21
,13:19,Jets,Jerricho Cotchery 94 yard kickoff return (Doug Brien kick),17,21
,9:56,Jets,Doug Brien 33 yard field goal,20,21
,1:12,Jets,Jonathan Vilma 38 yard interception return (pass failed),26,21
4,5:06,Rams,Torry Holt 19 yard pass from Marc Bulger (two point pass successful),26,29
,0:03,Jets,Doug Brien 27 yard field goal,29,29
OT,3:02,Rams,Jeff Wilkins 31 yard field goal,29,32
