Quarter,Time,Down,ToGo,Location,NOR,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Mitch Berger kicks off 65 yards, returned by Justin Miller for 25 yards (tackle by Aaron Stecker)",0.000,0.940
1,14:55,1,10,NYJ 30,0,0,Curtis Martin right guard for 7 yards (tackle by Ronald McKinnon),0.940,1.340
1,14:20,2,3,NYJ 37,0,0,Brooks Bollinger pass incomplete intended for Justin McCareins (defended by Darren Howard),1.340,0.630
1,14:14,3,3,NYJ 37,0,0,Curtis Martin left end for no gain (tackle by Will Smith and Sedrick Hodge),0.630,-0.910
1,13:37,4,3,NYJ 37,0,0,Ben Graham punts 40 yards,-0.910,-0.480
1,13:31,1,10,NOR 23,0,0,Aaron Stecker left tackle for 6 yards (tackle by Oliver Celestin and Justin Miller),0.480,0.740
1,12:58,2,4,NOR 29,0,0,Aaron Brooks pass incomplete intended for Joe Horn,0.740,0.040
1,12:52,3,4,NOR 29,0,0,Aaron Brooks pass incomplete intended for Joe Horn,0.040,-1.440
1,12:41,4,4,NOR 29,0,0,"Mitch Berger punts 46 yards, returned by Jerricho Cotchery for 12 yards (tackle by Colby Bockwoldt)",-1.440,-1.400
1,12:28,1,10,NYJ 37,0,0,Cedric Houston right guard for 1 yard (tackle by Willie Whitehead),1.400,0.990
1,11:55,2,9,NYJ 38,0,0,Cedric Houston up the middle for 1 yard (tackle by Josh Bullocks),0.990,0.430
1,11:17,3,8,NYJ 39,0,0,Brooks Bollinger sacked by Will Smith for -9 yards,0.430,-1.370
1,10:51,4,17,NYJ 30,0,0,"Ben Graham punts 49 yards, returned by Az-Zahir Hakim for 22 yards (tackle by B.J. Askew). Penalty on Kenyatta Wright: Offensive Holding (Declined)",-1.370,-1.800
1,10:37,1,10,NOR 43,0,0,Antowain Smith left tackle for -1 yards (tackle by James Reed),1.800,1.120
1,9:59,2,11,NOR 42,0,0,Aaron Brooks pass complete to Lamont Hall for 4 yards (tackle by Shaun Ellis and Jonathan Vilma),1.120,0.960
1,9:19,3,7,NOR 46,0,0,Aaron Brooks pass complete to Donte' Stallworth for 5 yards (tackle by Ty Law),0.960,0.000
1,8:35,4,2,NYJ 49,0,0,"Mitch Berger punts 37 yards, fair catch by Justin McCareins",0.000,0.350
1,8:26,1,10,NYJ 12,0,0,Curtis Martin left end for 4 yards (tackle by Josh Bullocks and Colby Bockwoldt),-0.350,-0.370
1,7:52,2,6,NYJ 16,0,0,Brooks Bollinger pass complete to Justin McCareins for 8 yards (tackle by Fred Thomas). Penalty on Sedrick Hodge: Defensive Holding (Declined),-0.370,0.540
1,7:33,1,10,NYJ 24,0,0,Curtis Martin right tackle for 23 yards (tackle by Josh Bullocks),0.540,2.060
1,6:52,1,10,NYJ 47,0,0,Brooks Bollinger right guard for 2 yards (tackle by Johnathan Sullivan),2.060,1.790
1,6:14,2,8,NYJ 49,0,0,Curtis Martin right tackle for 3 yards (tackle by Brian Young and Dwight Smith),1.790,1.490
1,5:35,3,5,NOR 48,0,0,"Penalty on Jonathan Goodwin: False Start, 5 yards (no play)",1.490,0.830
1,5:10,3,10,NYJ 47,0,0,"Brooks Bollinger sacked by Will Smith for -7 yards. Penalty on Fakhir Brown: Defensive Holding, 5 yards (no play)",0.830,2.390
1,4:48,1,10,NOR 48,0,0,Curtis Martin up the middle for 2 yards (tackle by Johnathan Sullivan and Sedrick Hodge),2.390,2.120
1,4:11,2,8,NOR 46,0,0,Brooks Bollinger pass incomplete (defended by Johnathan Sullivan),2.120,1.420
1,4:06,3,8,NOR 46,0,0,Brooks Bollinger pass complete to Jerricho Cotchery for 33 yards (tackle by Josh Bullocks),1.420,4.710
1,3:26,1,10,NOR 13,0,0,Curtis Martin right guard for 5 yards (tackle by Josh Bullocks),4.710,4.960
1,2:49,2,5,NOR 8,0,0,Brooks Bollinger pass complete to Jerald Sowell for -3 yards (tackle by Ronald McKinnon),4.960,3.450
1,2:06,3,8,NOR 11,0,0,Brooks Bollinger pass incomplete intended for Doug Jolley (defended by Dwight Smith),3.450,2.700
1,2:06,4,8,NOR 11,0,3,Mike Nugent 29 yard field goal good,2.700,3.000
1,,,,NYJ 30,0,3,"Mike Nugent kicks off 63 yards, returned by Aaron Stecker for 23 yards (tackle by Ryan Myers)",0.000,0.940
1,1:48,1,10,NOR 30,0,3,Antowain Smith left guard for 4 yards (tackle by Jonathan Vilma and Mark Brown),0.940,0.930
1,1:11,2,6,NOR 34,0,3,Aaron Brooks pass incomplete intended for Zachary Hilton,0.930,0.230
