Unnamed: 0,DAL,ARI
First Downs,15,22
Rush-Yds-TDs,26-99-2,21-49-0
Cmp-Att-Yd-TD-INT,13-18-183-2-0,29-48-325-2-0
Sacked-Yards,1-9,6-42
Net Pass Yards,174,283
Total Yards,273,332
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,9-76,6-50
Third Down Conv.,2-9,8-18
Fourth Down Conv.,0-0,0-1
Time of Possession,23:45,36:15
