Quarter,Time,Tm,Detail,DAL,ARI
1.0,9:59,Cardinals,Jaron Brown 25 yard pass from Carson Palmer (Phil Dawson kick),0,7
2.0,1:11,Cowboys,Dak Prescott 10 yard rush (Dan Bailey kick),7,7
3.0,8:31,Cowboys,Dez Bryant 15 yard pass from Dak Prescott (Dan Bailey kick),14,7
,3:13,Cardinals,Larry Fitzgerald 15 yard pass from Carson Palmer (Phil Dawson kick),14,14
4.0,11:52,Cowboys,Brice Butler 37 yard pass from Dak Prescott (Dan Bailey kick),21,14
,6:35,Cardinals,Phil Dawson 37 yard field goal,21,17
,4:57,Cowboys,Ezekiel Elliott 8 yard rush (Dan Bailey kick),28,17
